algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,3,100,0.8558,0.0031835514759463246,0.9082302786695642,0.004535161766439807,0.843049475302753,0.003648555918108918,485.9929165840149,170.2607356234549,0.42873568534851075,2429.9645829200745,9,14,64.28571428571429,3,100,True,Adult Income,target,20000
GB-RDT-Fast,3,100,0.8558,0.0031835514759463246,0.9082302786695642,0.004535161766439807,0.843049475302753,0.003648555918108918,497.8484632015228,3.14018050857673,0.5354582786560058,2489.242316007614,9,14,64.28571428571429,3,100,True,Adult Income,target,20000
GB-sklearn,3,100,0.8699,0.0041188590653237845,0.9239213172607513,0.0035585351321049084,0.8647392970098691,0.004320105937763835,2.477135705947876,0.05887302154264129,0.006401634216308594,12.38567852973938,14,14,100.0,3,100,True,Adult Income,target,20000
XGBoost,3,100,0.8615,0.012022894826122359,0.9204278664907377,0.006758607654585731,0.8503296159331739,0.02104835079974479,0.14275593757629396,0.029427921946464236,0.002828025817871094,0.7137796878814697,14,14,100.0,-1,100,True,Adult Income,target,20000
CatBoost,3,100,0.8644499999999999,0.004907647094076758,0.9173297851227693,0.003980181984123708,0.8584591908651074,0.005408414866005697,0.4990224361419678,0.1485060814118018,0.018039989471435546,2.495112180709839,14,14,100.0,-1,0,True,Adult Income,target,20000
GB-RDT,4,100,0.8601000000000001,0.002741350032374567,0.9134282143984663,0.004360353023706395,0.8494606262290256,0.002935401276909187,925.5512115955353,22.69782218057179,0.6381303310394287,4627.756057977676,10,14,71.42857142857143,4,100,True,Adult Income,target,20000
GB-RDT-Fast,4,100,0.8601000000000001,0.002741350032374567,0.9134282143984663,0.004360353023706395,0.8494606262290256,0.002935401276909187,265.949859046936,4.180423644381396,0.43710813522338865,1329.7492952346802,10,14,71.42857142857143,4,100,True,Adult Income,target,20000
GB-sklearn,4,100,0.8723000000000001,0.005218716317256566,0.9265165923906903,0.0036143531284601525,0.8676793273684357,0.005423836268363353,1.967705488204956,0.020537995880886447,0.005219316482543946,9.83852744102478,14,14,100.0,4,100,True,Adult Income,target,20000
XGBoost,4,100,0.8650500000000001,0.010738249391777054,0.9233071099183203,0.006869007786296459,0.855132886424893,0.01801802278977532,0.07905540466308594,0.0023092281329025396,0.0019999980926513673,0.3952770233154297,14,14,100.0,-1,100,True,Adult Income,target,20000
CatBoost,4,100,0.86575,0.004535967372016711,0.9195211730216396,0.00436225250663935,0.8601425719711207,0.004605277521789946,0.33981904983520506,0.024559983423563497,0.01200108528137207,1.6990952491760254,14,14,100.0,-1,0,True,Adult Income,target,20000
GB-RDT,5,100,0.8639000000000001,0.002462722071204935,0.9177426817143814,0.003974037159771641,0.8544528039264501,0.002518492633087435,488.93887519836426,20.012825307792856,0.5359106540679932,2444.6943759918213,13,14,92.85714285714286,5,100,True,Adult Income,target,20000
GB-RDT-Fast,5,100,0.8639000000000001,0.002462722071204935,0.9177428884900051,0.003973984780420162,0.8544528039264501,0.002518492633087435,313.29845852851867,7.37109244000394,0.5224072933197021,1566.4922926425934,13,14,92.85714285714286,5,100,True,Adult Income,target,20000
GB-sklearn,5,100,0.87255,0.003241913015489455,0.9267441191153782,0.0041141072562056215,0.8684731329203522,0.003256657238872949,2.507979726791382,0.03634516048263025,0.0071795940399169925,12.53989863395691,14,14,100.0,5,100,True,Adult Income,target,20000
XGBoost,5,100,0.8666500000000001,0.01056243343174289,0.9247534132636013,0.007006926333494717,0.858041945150599,0.017330288648295892,0.10199923515319824,0.011244023787132998,0.0025020122528076174,0.5099961757659912,14,14,100.0,-1,100,True,Adult Income,target,20000
CatBoost,5,100,0.86615,0.003628360511305358,0.9206404798501702,0.004065657146216675,0.860340757612345,0.0037878388227743625,0.4206212520599365,0.03966520548852429,0.011849069595336914,2.1031062602996826,14,14,100.0,-1,0,True,Adult Income,target,20000
