algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,3,100,0.8218058143808978,0.004459191427059435,0.8963411859982685,0.002705504487471261,0.8218509851446392,0.004447034851735584,108.75359115600585,7.075920218880015,0.1992259979248047,543.7679557800293,10,16,62.5,3,100,True,Bank Marketing,target,11162
GB-RDT-Fast,3,100,0.8218058143808978,0.004459191427059435,0.8963411859982685,0.002705504487471261,0.8218509851446392,0.004447034851735584,62.254763793945315,1.9207275329258295,0.18963680267333985,311.27381896972656,10,16,62.5,3,100,True,Bank Marketing,target,11162
GB-sklearn,3,100,0.8435761556451211,0.0038369903693161356,0.9155535290192882,0.0022055082835315534,0.8436746902177464,0.003836989448938389,1.0161800861358643,0.02432795971113004,0.003583669662475586,5.080900430679321,16,16,100.0,3,100,True,Bank Marketing,target,11162
XGBoost,3,100,0.8338098528587962,0.007323661193377963,0.9101894797458442,0.004320119676136138,0.8337356227381545,0.0074855817616721,0.058989524841308594,0.005422808697845654,0.0017889976501464845,0.29494762420654297,16,16,100.0,-1,100,True,Bank Marketing,target,11162
CatBoost,3,100,0.8384697523462818,0.00333835178090434,0.9119936166359196,0.0032147036344962006,0.8385516808448061,0.0033449534558442637,0.2574941158294678,0.09878048031099258,0.008879995346069336,1.2874705791473389,16,16,100.0,-1,0,True,Bank Marketing,target,11162
GB-RDT,4,100,0.8298685648796884,0.006656445572769815,0.9027238933562582,0.002852743468897828,0.8299610955834487,0.0066615017546480335,143.14035205841066,6.480818109766045,0.2669224262237549,715.7017602920532,13,16,81.25,4,100,True,Bank Marketing,target,11162
GB-RDT-Fast,4,100,0.8298685648796884,0.006656445572769815,0.9027238933562582,0.002852743468897828,0.8299610955834487,0.0066615017546480335,80.03177709579468,2.8031738109268374,0.25481081008911133,400.1588854789734,13,16,81.25,4,100,True,Bank Marketing,target,11162
GB-sklearn,4,100,0.8492208353999231,0.00225937330994093,0.9186907256741002,0.0032014052379021308,0.8493130250451456,0.0022657157106457868,1.3583233833312989,0.02410931399887619,0.003624105453491211,6.791616916656494,16,16,100.0,4,100,True,Bank Marketing,target,11162
XGBoost,4,100,0.8396337039551722,0.005970254257548581,0.9147148344622391,0.0033763988926408138,0.8396311301210806,0.006070203609568204,0.07451539039611817,0.006037588134804201,0.001601409912109375,0.3725769519805908,16,16,100.0,-1,100,True,Bank Marketing,target,11162
CatBoost,4,100,0.8440244652146764,0.002958424521692485,0.9166441994184172,0.0031743015451288496,0.8441199465466459,0.002961419378176416,0.27048768997192385,0.028852720720952837,0.008208036422729492,1.3524384498596191,16,16,100.0,-1,0,True,Bank Marketing,target,11162
GB-RDT,5,100,0.8357817408151111,0.005037590559334969,0.907860745124698,0.002799014203752519,0.8358904590421096,0.0050392605795979446,192.64857592582703,7.6385866652447625,0.3152705192565918,963.2428796291351,14,16,87.5,5,100,True,Bank Marketing,target,11162
GB-RDT-Fast,5,100,0.8357817408151111,0.005037590559334969,0.907860745124698,0.002799014203752519,0.8358904590421096,0.0050392605795979446,93.02837495803833,4.905396640820231,0.2953788280487061,465.14187479019165,14,16,87.5,5,100,True,Bank Marketing,target,11162
GB-sklearn,5,100,0.8526250106339093,0.00354874201665475,0.9195932294008372,0.004085620203507076,0.8527140304239718,0.003544231245011148,1.648252534866333,0.0570602350275467,0.004594612121582031,8.241262674331665,16,16,100.0,5,100,True,Bank Marketing,target,11162
XGBoost,5,100,0.8444724938885116,0.0043409747801225656,0.9172970393452402,0.002770567794466949,0.8445247224561225,0.004383186960988259,0.10127058029174804,0.005794153797648265,0.0014507293701171875,0.5063529014587402,16,16,100.0,-1,100,True,Bank Marketing,target,11162
CatBoost,5,100,0.8464429372382654,0.002786297092193162,0.9178809079388944,0.0032441863990466924,0.8465452369743709,0.002785799002389922,0.2939459323883057,0.014605737473161398,0.008111810684204102,1.4697296619415283,16,16,100.0,-1,0,True,Bank Marketing,target,11162
