algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,3,100,0.9490451793199813,0.023775253808258665,0.9906178674111855,0.005291558331004548,0.948604643529549,0.02450469773117651,120.30637474060059,5.957287698443916,0.015476846694946289,601.5318737030029,22,30,73.33333333333333,3,100,True,Breast Cancer,target,569
GB-RDT-Fast,3,100,0.9490451793199813,0.023775253808258665,0.9906178674111855,0.005291558331004548,0.948604643529549,0.02450469773117651,35.286774682998654,0.7741693776772621,0.01579732894897461,176.4338734149933,22,30,73.33333333333333,3,100,True,Breast Cancer,target,569
GB-sklearn,3,100,0.9543238627542306,0.016971381899046588,0.9924047731695946,0.005019138148963377,0.954066444603914,0.0171958041248839,0.5549101829528809,0.013874482950295308,0.0006375312805175781,2.7745509147644043,30,30,100.0,3,100,True,Breast Cancer,target,569
XGBoost,3,100,0.9595714951094549,0.01628697914911989,0.9934603963141468,0.005175004685466209,0.9593313507789828,0.01656744471564143,0.08918108940124511,0.018098373236311513,0.0014053821563720704,0.4459054470062256,30,30,100.0,-1,100,True,Breast Cancer,target,569
CatBoost,3,100,0.9648657040832169,0.01566592330434181,0.9954419453846247,0.004259913645847362,0.9647192039884601,0.015878265414632605,0.30933518409729005,0.10664592055415172,0.002458333969116211,1.5466759204864502,30,30,100.0,-1,0,True,Breast Cancer,target,569
GB-RDT,4,100,0.9508150908244062,0.02514584362673252,0.9917419027515653,0.005114056242795343,0.9502703099330964,0.026119992703703618,229.79876823425292,75.4970897111911,0.02057018280029297,1148.9938411712646,25,30,83.33333333333334,4,100,True,Breast Cancer,target,569
GB-RDT-Fast,4,100,0.9508150908244062,0.02514584362673252,0.9917419027515653,0.005114056242795343,0.9502703099330964,0.026119992703703618,45.21222038269043,0.3791911438535826,0.020791053771972656,226.06110191345215,25,30,83.33333333333334,4,100,True,Breast Cancer,target,569
GB-sklearn,4,100,0.9560937742586555,0.02283883380490949,0.9930670586828464,0.004663193393887655,0.9556824178261326,0.023435524565206086,0.8491225242614746,0.034088420904071944,0.0010614871978759765,4.245612621307373,30,30,100.0,4,100,True,Breast Cancer,target,569
XGBoost,4,100,0.9613258810743673,0.011934121799898082,0.9935886421023991,0.004563592408138045,0.9611741095168256,0.012098966776982535,0.17228808403015136,0.006174202863203964,0.0013544082641601563,0.8614404201507568,30,30,100.0,-1,100,True,Breast Cancer,target,569
CatBoost,4,100,0.9578481602235678,0.01015802248531395,0.9941959898928454,0.004696039714053072,0.9577195391939479,0.010389410700346756,0.48958568572998046,0.0754899922529796,0.002840280532836914,2.4479284286499023,30,30,100.0,-1,0,True,Breast Cancer,target,569
GB-RDT,5,100,0.9543238627542306,0.021741665308714478,0.992669994991482,0.004874806324273599,0.9538896270313663,0.022553458382416295,202.4752408504486,14.709627802862633,0.022903013229370116,1012.376204252243,29,30,96.66666666666667,5,100,True,Breast Cancer,target,569
GB-RDT-Fast,5,100,0.9543238627542306,0.021741665308714478,0.992669994991482,0.004874806324273599,0.9538896270313663,0.022553458382416295,59.49413084983826,1.4039953863247427,0.024657392501831056,297.4706542491913,29,30,96.66666666666667,5,100,True,Breast Cancer,target,569
GB-sklearn,5,100,0.9560937742586555,0.02283883380490949,0.9926094248523007,0.0033944533187399415,0.9557515308444409,0.02340550129044449,0.8817520141601562,0.008549624477107973,0.0008007526397705078,4.408760070800781,30,30,100.0,5,100,True,Breast Cancer,target,569
XGBoost,5,100,0.9666045645086166,0.01608646693923512,0.9935243675662935,0.005086782510338401,0.9664658782491629,0.01629073039052214,0.13492908477783203,0.041305109217593054,0.0011237144470214843,0.6746454238891602,30,30,100.0,-1,100,True,Breast Cancer,target,569
CatBoost,5,100,0.9666356155876418,0.016980668037288846,0.9935205765168098,0.006018260021483957,0.9663774498387305,0.017299584934588916,0.4451796531677246,0.06796917900934588,0.002108192443847656,2.225898265838623,30,30,100.0,-1,0,True,Breast Cancer,target,569
