algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,3,100,0.9316297786720323,0.02283552410903247,0.9695384615384615,0.01261029707712862,0.9302250301464868,0.023513981744465354,52.92815451622009,3.1656114185473276,0.008654451370239258,264.64077258110046,25,34,73.52941176470588,3,100,True,Ionosphere,target,351
GB-RDT-Fast,3,100,0.9316297786720323,0.02283552410903247,0.9695384615384615,0.01261029707712862,0.9302250301464868,0.023513981744465354,15.668208265304566,0.19151353089285406,0.009294891357421875,78.34104132652283,25,34,73.52941176470588,3,100,True,Ionosphere,target,351
GB-sklearn,3,100,0.9401609657947686,0.016690550167626016,0.9682871794871796,0.0121973707061833,0.9391813606115221,0.017141801283068834,0.291121244430542,0.010157275536537095,0.0004822254180908203,1.45560622215271,33,34,97.05882352941177,3,100,True,Ionosphere,target,351
XGBoost,3,100,0.9344466800804829,0.017226160471601196,0.9680547008547009,0.017342705199155307,0.9335871538102317,0.01732631515589173,0.0661156177520752,0.004490922068421167,0.0013044357299804687,0.330578088760376,31,34,91.17647058823529,-1,100,True,Ionosphere,target,351
CatBoost,3,100,0.9401609657947686,0.016690550167626016,0.9707145299145299,0.013398701912674234,0.9390544914719234,0.0171143025674723,0.2412346363067627,0.09815667543091261,0.0024053096771240235,1.2061731815338135,33,34,97.05882352941177,-1,0,True,Ionosphere,target,351
GB-RDT,4,100,0.9287726358148894,0.02555823080553661,0.9645606837606838,0.018331030955382993,0.927539442807604,0.02612983144470409,74.5925325870514,6.836910379298256,0.011011314392089844,372.96266293525696,29,34,85.29411764705883,4,100,True,Ionosphere,target,351
GB-RDT-Fast,4,100,0.9287726358148894,0.02555823080553661,0.9645606837606838,0.018331030955382993,0.927539442807604,0.02612983144470409,22.75061240196228,0.42614357274236164,0.012756252288818359,113.7530620098114,29,34,85.29411764705883,4,100,True,Ionosphere,target,351
GB-sklearn,4,100,0.9344466800804829,0.017226160471601196,0.9707213675213675,0.013489224114623964,0.9337140229498303,0.017393403019207686,0.39878997802734373,0.014835660997220383,0.0008040428161621094,1.9939498901367188,33,34,97.05882352941177,4,100,True,Ionosphere,target,351
XGBoost,4,100,0.9373038229376258,0.023253360170854723,0.9651965811965812,0.021020542777071827,0.9365835643783245,0.0233181777346977,0.10132465362548829,0.01315495597426628,0.0012666702270507813,0.5066232681274414,33,34,97.05882352941177,-1,100,True,Ionosphere,target,351
CatBoost,4,100,0.9401207243460765,0.022948777690754815,0.9735452991452991,0.014499344815302906,0.938917408606905,0.02379132250217682,0.2943986415863037,0.06238932327561038,0.0016386985778808593,1.4719932079315186,33,34,97.05882352941177,-1,0,True,Ionosphere,target,351
GB-RDT,5,100,0.9202012072434608,0.029477403666181685,0.9679247863247864,0.015197285323019893,0.9191609701966158,0.02982739560773999,88.63027458190918,7.257827067325861,0.013091850280761718,443.1513729095459,31,34,91.17647058823529,5,100,True,Ionosphere,target,351
GB-RDT-Fast,5,100,0.9202012072434608,0.029477403666181685,0.9679247863247864,0.015197285323019893,0.9191609701966158,0.02982739560773999,26.845152187347413,0.25871302930437307,0.013519382476806641,134.22576093673706,31,34,91.17647058823529,5,100,True,Ionosphere,target,351
GB-sklearn,5,100,0.9373038229376258,0.0214262947374078,0.9717880341880342,0.01551625202799081,0.9364787299188284,0.021870879222684162,0.4747622013092041,0.008389907736806972,0.0003184795379638672,2.3738110065460205,33,34,97.05882352941177,5,100,True,Ionosphere,target,351
XGBoost,5,100,0.9344064386317907,0.02660108909512321,0.9674940170940172,0.019479649467343846,0.9338093539617226,0.02639295332217649,0.08619108200073242,0.002409281515625291,0.0015488624572753905,0.4309554100036621,33,34,97.05882352941177,-1,100,True,Ionosphere,target,351
CatBoost,5,100,0.9401609657947686,0.018979123213659386,0.9751589743589744,0.011211039923823784,0.939154298784661,0.019484800364067297,0.3211089611053467,0.06949492465660069,0.0019992828369140626,1.6055448055267334,33,34,97.05882352941177,-1,0,True,Ionosphere,target,351
