algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,3,100,0.719,0.01743559577416271,0.8033949999999999,0.022744259715365527,0.7184861708994102,0.017847762593226103,1329.3697426319122,79.65379427616516,0.08273983001708984,6646.848713159561,84,500,16.8,3,100,True,Madelon,target,2000
GB-RDT-Fast,3,100,0.719,0.01743559577416271,0.8033949999999999,0.022744259715365527,0.7184861708994102,0.017847762593226103,426.25428586006166,11.626600083255754,0.048421621322631836,2131.2714293003082,84,500,16.8,3,100,True,Madelon,target,2000
GB-sklearn,3,100,0.702,0.011445523142259589,0.789845,0.011980989107748983,0.7013756656030296,0.011699939194671136,10.369432353973389,0.07601107999219088,0.004002666473388672,51.84716176986694,312,500,62.4,3,100,True,Madelon,target,2000
XGBoost,3,100,0.719,0.017507141400011625,0.8007399999999999,0.019220604829193046,0.7188720702049022,0.017716404471049815,0.44171910285949706,0.015448234454549459,0.0028644084930419924,2.2085955142974854,284,500,56.8,-1,100,True,Madelon,target,2000
CatBoost,3,100,0.7324999999999999,0.026925824035672525,0.816825,0.030711663094010366,0.732366395159856,0.02695508294777825,0.8752061367034912,0.10902480017101412,0.05045895576477051,4.376030683517456,161,500,32.2,-1,0,True,Madelon,target,2000
GB-RDT,4,100,0.7665,0.02182887995294308,0.8493450000000001,0.023153160691361335,0.7663294053613625,0.021965112275835214,2045.7598911762238,198.20617250701238,0.09710116386413574,10228.799455881119,125,500,25.0,4,100,True,Madelon,target,2000
GB-RDT-Fast,4,100,0.7665,0.02182887995294308,0.8493450000000001,0.023153160691361335,0.7663294053613625,0.021965112275835214,667.1741152286529,7.6590583410641155,0.06519584655761719,3335.8705761432648,125,500,25.0,4,100,True,Madelon,target,2000
GB-sklearn,4,100,0.7550000000000001,0.014230249470757694,0.830635,0.017753658777840676,0.7548518411511049,0.014266846183640868,14.87458577156067,0.15814991196430073,0.001739358901977539,74.37292885780334,431,500,86.2,4,100,True,Madelon,target,2000
XGBoost,4,100,0.763,0.020024984394500758,0.840545,0.023476804509983906,0.7629019729172216,0.019994501618534423,0.645890474319458,0.03871449520842878,0.003000211715698242,3.22945237159729,413,500,82.6,-1,100,True,Madelon,target,2000
CatBoost,4,100,0.787,0.015033296378372939,0.8613799999999999,0.021647248093002416,0.7869157367354817,0.015039216705387656,1.1596001148223878,0.10208919023938957,0.04958996772766113,5.7980005741119385,221,500,44.2,-1,0,True,Madelon,target,2000
GB-RDT,5,100,0.8069999999999998,0.02680485030736043,0.8858849999999998,0.021724764670762273,0.8067682149980054,0.026914851194017427,2806.141402244568,219.69798933627555,0.10338220596313477,14030.70701122284,152,500,30.4,5,100,True,Madelon,target,2000
GB-RDT-Fast,5,100,0.8084999999999999,0.026296387584609428,0.8872449999999998,0.020949381852455696,0.8082700934080588,0.02642009331165518,890.8621705055236,10.757182524279377,0.07799820899963379,4454.310852527618,152,500,30.4,5,100,True,Madelon,target,2000
GB-sklearn,5,100,0.7725,0.017248188310660353,0.85191,0.013368438577485438,0.7722877743366324,0.017253511062525307,18.653453588485718,0.39966561620049473,0.002356147766113281,93.26726794242859,488,500,97.6,5,100,True,Madelon,target,2000
XGBoost,5,100,0.7895,0.020940391591371926,0.864895,0.026763386370188682,0.7892375135245796,0.02129441127838878,0.9041224002838135,0.02641521036463137,0.002905464172363281,4.520612001419067,469,500,93.8,-1,100,True,Madelon,target,2000
CatBoost,5,100,0.818,0.029765752132274444,0.8872449999999998,0.02460743485209297,0.8179130667730824,0.029781794531467374,1.5964906692504883,0.059651868601801716,0.05352363586425781,7.982453346252441,265,500,53.0,-1,0,True,Madelon,target,2000
