algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,3,100,0.916490454200841,0.006657594956254488,0.948126245205056,0.008964832132383442,0.9059679561691073,0.008527111045605863,1492.5401247024536,55.21650864886608,0.23028483390808105,7462.700623512268,39,166,23.49397590361446,3,100,True,Musk v2,target,6598
GB-RDT-Fast,3,100,0.916490454200841,0.006657594956254488,0.948126245205056,0.008964832132383442,0.9059679561691073,0.008527111045605863,718.3982561588288,4.421235187072821,0.18549542427062987,3591.9912807941437,39,166,23.49397590361446,3,100,True,Musk v2,target,6598
GB-sklearn,3,100,0.9655938842557493,0.00840049077508697,0.9881401946924301,0.003964895018448274,0.9639148839287669,0.009325034920230749,12.159956359863282,0.05060911892543905,0.0048544883728027345,60.799781799316406,148,166,89.1566265060241,3,100,True,Musk v2,target,6598
XGBoost,3,100,0.9662008638316447,0.006621443548318322,0.9897708808966504,0.0029687390446252633,0.9648585994755393,0.007216437291010221,0.30092606544494627,0.018112652238455488,0.003337192535400391,1.5046303272247314,142,166,85.54216867469879,-1,100,True,Musk v2,target,6598
CatBoost,3,100,0.9605935396420613,0.004773412787232809,0.985379802704134,0.004728989222204568,0.9584604273275167,0.005428368621749142,0.9052951812744141,0.11964541409481412,0.05778007507324219,4.52647590637207,121,166,72.89156626506023,-1,0,True,Musk v2,target,6598
GB-RDT,4,100,0.9349809313759276,0.005710807652718482,0.9638313990293357,0.008232724360546959,0.9284773614519383,0.00699163126088205,2123.465337562561,56.43430048873861,0.2810558795928955,10617.326687812805,61,166,36.74698795180723,4,100,True,Musk v2,target,6598
GB-RDT-Fast,4,100,0.9349809313759276,0.005710807652718482,0.9638313990293357,0.008232724360546959,0.9284773614519383,0.00699163126088205,961.0555606365203,3.018074471746574,0.23353939056396483,4805.277803182602,61,166,36.74698795180723,4,100,True,Musk v2,target,6598
GB-sklearn,4,100,0.9719597031727434,0.006886803198789076,0.9944609922224436,0.002834348450672814,0.9710423397920032,0.007398538109884014,16.279977369308472,0.03653928941001642,0.0031880855560302733,81.39988684654236,165,166,99.3975903614458,4,100,True,Musk v2,target,6598
XGBoost,4,100,0.9752946447032876,0.005828580123037073,0.9959965151268664,0.0015508193674193679,0.974586625638907,0.006269416793735905,0.39813942909240724,0.019541720903588945,0.003106355667114258,1.9906971454620361,159,166,95.78313253012048,-1,100,True,Musk v2,target,6598
CatBoost,4,100,0.9713539871803707,0.006512775530828586,0.9927819912034384,0.0035633869896944813,0.970211353956009,0.0070672687401006325,1.1187163829803466,0.1143318872966942,0.05885272026062012,5.593581914901733,132,166,79.51807228915662,-1,0,True,Musk v2,target,6598
GB-RDT,5,100,0.9457413789142372,0.005537007413965795,0.9718814233654616,0.007842016001905847,0.94146836099141,0.0067277848214719535,2794.8703269004823,91.38119752968693,0.3191899299621582,13974.35163450241,77,166,46.3855421686747,5,100,True,Musk v2,target,6598
GB-RDT-Fast,5,100,0.9457413789142372,0.005537007413965795,0.9718814233654616,0.007842016001905847,0.94146836099141,0.0067277848214719535,1196.5823748588562,12.829276291265016,0.2658287525177002,5982.911874294281,77,166,46.3855421686747,5,100,True,Musk v2,target,6598
GB-sklearn,5,100,0.9813565143474164,0.0058476952852698294,0.9973647420824994,0.0014076444871015544,0.9808915089401531,0.006131660936991315,20.392349624633788,0.11737942813451394,0.005508804321289062,101.96174812316895,166,166,100.0,5,100,True,Musk v2,target,6598
XGBoost,5,100,0.9802968272566452,0.0036198841674217968,0.9981148720177385,0.0009582027798706737,0.9798629373078732,0.003848777149099901,0.5071877002716064,0.044324808288265086,0.0029682159423828126,2.5359385013580322,166,166,100.0,-1,100,True,Musk v2,target,6598
CatBoost,5,100,0.9749912697865692,0.007305358250240743,0.9962527915779648,0.0013827928565716574,0.974120914642328,0.007882549931273632,1.4475133895874024,0.1399102000641555,0.05933294296264648,7.237566947937012,135,166,81.32530120481928,-1,0,True,Musk v2,target,6598
