algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,3,100,0.9906661055832326,0.003214003778009058,0.9989214182667796,0.00047274160131740287,0.9907257431574923,0.003173175695519504,134.31495156288148,19.223564776653085,0.200883150100708,671.5747578144073,6,6,100.0,3,100,True,Occupancy Detection,target,8143
GB-RDT-Fast,3,100,0.9906661055832326,0.003214003778009058,0.9989214182667796,0.00047274160131740287,0.9907257431574923,0.003173175695519504,82.79277467727661,11.257772623017988,0.1987377643585205,413.96387338638306,6,6,100.0,3,100,True,Occupancy Detection,target,8143
GB-sklearn,3,100,0.9928774077945348,0.000489857129449862,0.999319441220254,0.0004105369917220187,0.9928835608860698,0.0005075386356857798,0.676729679107666,0.015061055348390815,0.001392507553100586,3.38364839553833,6,6,100.0,3,100,True,Occupancy Detection,target,8143
XGBoost,3,100,0.9938596054618154,0.0005509207623661357,0.9995539312512169,0.0001768493116660797,0.9938713914200529,0.0005466959257598763,0.06789159774780273,0.00401438347780362,0.0015680789947509766,0.33945798873901367,6,6,100.0,-1,100,True,Occupancy Detection,target,8143
CatBoost,3,100,0.9923860827175744,0.000626256712801334,0.9990934737975466,0.000413889473781229,0.9923988950441999,0.0006424156913475646,0.21500535011291505,0.06974963628757641,0.005414295196533203,1.0750267505645752,6,6,100.0,-1,0,True,Occupancy Detection,target,8143
GB-RDT,4,100,0.9923859318886944,0.0007385479618594026,0.9991782303004557,0.0003756726086141606,0.9923937626191055,0.0007374413415626289,330.9428343772888,90.60270856032682,0.2932456016540527,1654.714171886444,6,6,100.0,4,100,True,Occupancy Detection,target,8143
GB-RDT-Fast,4,100,0.9923859318886944,0.0007385479618594026,0.9991782303004557,0.0003756726086141606,0.9923937626191055,0.0007374413415626289,142.88123812675477,45.392865108599345,0.3094160079956055,714.4061906337738,6,6,100.0,4,100,True,Occupancy Detection,target,8143
GB-sklearn,4,100,0.9928771061367747,0.000834723291265888,0.9994420217421212,0.00025622054838810016,0.9928858966311914,0.0008221151674338487,1.2492621898651124,0.045162425858710956,0.0023419857025146484,6.2463109493255615,6,6,100.0,4,100,True,Occupancy Detection,target,8143
XGBoost,4,100,0.9941050794641957,0.0010722372894078607,0.9996747971868765,0.0001370834135962327,0.9941174013712706,0.0010639544253670205,0.1781381607055664,0.01659554823778844,0.0020680904388427736,0.890690803527832,6,6,100.0,-1,100,True,Occupancy Detection,target,8143
CatBoost,4,100,0.9922633080091643,0.0006258869874301165,0.9992288728153419,0.00036628071955847197,0.9922757859743525,0.0006394959037318836,0.3643385887145996,0.11752443567128514,0.006759214401245117,1.821692943572998,6,6,100.0,-1,0,True,Occupancy Detection,target,8143
GB-RDT,5,100,0.9923858564742541,0.0008351895887432392,0.9992498480291321,0.0005059491548985495,0.9923961536526262,0.0008256105783739804,190.61458673477173,9.84740037700836,0.2887826919555664,953.0729336738586,6,6,100.0,5,100,True,Occupancy Detection,target,8143
GB-RDT-Fast,5,100,0.9923858564742541,0.0008351895887432392,0.9992498480291321,0.0005059491548985495,0.9923961536526262,0.0008256105783739804,106.24921064376831,1.8390538784083732,0.30163021087646485,531.2460532188416,6,6,100.0,5,100,True,Occupancy Detection,target,8143
GB-sklearn,5,100,0.9927544822572447,0.0006019980717392769,0.9995922455073083,0.0002086606811395998,0.9927573010960847,0.0006118116103501845,1.0992675304412842,0.0382525455106838,0.001948976516723633,5.496337652206421,6,6,100.0,5,100,True,Occupancy Detection,target,8143
XGBoost,5,100,0.9937366799245252,0.0009842342472067666,0.9997343609990468,9.852702685958061e-05,0.993750327083667,0.0009749115558534883,0.08962397575378418,0.007633228406233861,0.001399850845336914,0.4481198787689209,6,6,100.0,-1,100,True,Occupancy Detection,target,8143
CatBoost,5,100,0.9925088574259846,0.00046019221127806357,0.9992986044990367,0.00034703296559832417,0.9925216288528329,0.0004665058250209097,0.2829616069793701,0.06945667574868963,0.00425424575805664,1.4148080348968506,6,6,100.0,-1,0,True,Occupancy Detection,target,8143
