algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,3,100,0.9232021709633649,0.00280853454477792,0.97898715186275,0.002523862503152134,0.9230867357815873,0.002852730089314461,12.856881904602051,0.7120906022788249,0.2504490852355957,64.28440952301025,9,30,30.0,3,100,True,Phishing Websites,target,11055
GB-RDT-Fast,3,100,0.9232021709633649,0.00280853454477792,0.97898715186275,0.002523862503152134,0.9230867357815873,0.002852730089314461,5.391423177719116,0.16990280746794012,0.24993176460266114,26.95711588859558,9,30,30.0,3,100,True,Phishing Websites,target,11055
GB-sklearn,3,100,0.9488919041157846,0.0024440083376040225,0.9902147489446378,0.0007628167681753365,0.9488073540220375,0.0024700319083118794,0.6891174793243409,0.015557308844903034,0.004401874542236328,3.445587396621704,30,30,100.0,3,100,True,Phishing Websites,target,11055
XGBoost,3,100,0.9491632745364089,0.003343232675273857,0.9900575655710998,0.0008352926364787025,0.9490793879927661,0.0033665755124507877,0.08475122451782227,0.003989058516277663,0.0014064788818359375,0.42375612258911133,30,30,100.0,-1,100,True,Phishing Websites,target,11055
CatBoost,3,100,0.9474445952057892,0.0016028987016435342,0.9898775210492875,0.0007997911534865759,0.9473448146699649,0.001611971988748085,0.4152423858642578,0.0739104088512323,0.018803882598876952,2.076211929321289,27,30,90.0,-1,0,True,Phishing Websites,target,11055
GB-RDT,4,100,0.9251017639077341,0.0037797525853959443,0.981623446649899,0.001917249516562671,0.9249834646995584,0.003828010417304895,17.432701301574706,0.925118120703228,0.3093625545501709,87.16350650787354,13,30,43.333333333333336,4,100,True,Phishing Websites,target,11055
GB-RDT-Fast,4,100,0.9251017639077341,0.0037797525853959443,0.981623446649899,0.001917249516562671,0.9249834646995584,0.003828010417304895,7.5224464416503904,0.10116604016076489,0.31040639877319337,37.61223220825195,13,30,43.333333333333336,4,100,True,Phishing Websites,target,11055
GB-sklearn,4,100,0.9556761646313886,0.002341416391776522,0.9928948758471978,0.0007010788732716018,0.9556167654592862,0.002372724053731755,0.9577415466308594,0.009007898395198104,0.00628514289855957,4.788707733154297,30,30,100.0,4,100,True,Phishing Websites,target,11055
XGBoost,4,100,0.9534147444595206,0.0018316107400557662,0.9925279030617282,0.0004907290817613011,0.9533487801115266,0.001851659954485451,0.10398802757263184,0.010349169988812261,0.0021475791931152345,0.5199401378631592,30,30,100.0,-1,100,True,Phishing Websites,target,11055
CatBoost,4,100,0.9540479421076438,0.002503546359673991,0.9921565022773778,0.0007439420887924318,0.9539749376961302,0.002520673984056319,0.47030348777770997,0.067622137754004,0.019434404373168946,2.35151743888855,29,30,96.66666666666667,-1,0,True,Phishing Websites,target,11055
GB-RDT,5,100,0.930529172320217,0.003591032698557959,0.982946256390662,0.00155738584568826,0.9302842550674771,0.0036471042985330875,21.556854963302612,1.2492904691087985,0.35309371948242185,107.78427481651306,19,30,63.33333333333333,5,100,True,Phishing Websites,target,11055
GB-RDT-Fast,5,100,0.930529172320217,0.003591032698557959,0.982946256390662,0.00155738584568826,0.9302842550674771,0.0036471042985330875,9.368884372711182,0.12408948005034007,0.35560245513916017,46.84442186355591,19,30,63.33333333333333,5,100,True,Phishing Websites,target,11055
GB-sklearn,5,100,0.9621890547263681,0.001952694088188443,0.9947404777057482,0.0005769315740734828,0.9621520922303602,0.001964666641765815,1.1945671558380127,0.011651372932475734,0.007601404190063476,5.9728357791900635,30,30,100.0,5,100,True,Phishing Websites,target,11055
XGBoost,5,100,0.9592944369063773,0.0031853128650672345,0.994022833733824,0.00042178384180528375,0.9592494709769047,0.0032123668393001827,0.12262563705444336,0.00718339337694316,0.002268409729003906,0.6131281852722168,30,30,100.0,-1,100,True,Phishing Websites,target,11055
CatBoost,5,100,0.9591135232926277,0.0020547836619810938,0.9939501987553218,0.0006316156276580181,0.9590606452761289,0.00206997224292107,0.5470700263977051,0.0740093046292217,0.019268083572387695,2.7353501319885254,30,30,100.0,-1,0,True,Phishing Websites,target,11055
