algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,3,100,0.9224082991077751,0.00392242468766969,0.9706023449309569,0.004547680084751789,0.9215905669154407,0.004086087529416715,207.95357599258423,70.05183799965927,0.08426299095153808,1039.7678799629211,18,57,31.57894736842105,3,100,True,Spambase,target,4601
GB-RDT-Fast,3,100,0.9224082991077751,0.00392242468766969,0.9706023449309569,0.004547680084751789,0.9215905669154407,0.004086087529416715,74.02173714637756,1.7415856708549167,0.08732328414916993,370.1086857318878,18,57,31.57894736842105,3,100,True,Spambase,target,4601
GB-sklearn,3,100,0.9430566964074965,0.0047817482584128004,0.984441000645881,0.003290922786012316,0.9428603851113859,0.004895566278604528,0.963900375366211,0.07918915202716963,0.0018168926239013673,4.819501876831055,47,57,82.45614035087719,3,100,True,Spambase,target,4601
XGBoost,3,100,0.9454480007553225,0.004011374345106173,0.9850861697145141,0.0034214138545721274,0.9452904312085251,0.004107789269507452,0.07384986877441406,0.002906376344527416,0.0012002944946289062,0.3692493438720703,45,57,78.94736842105263,-1,100,True,Spambase,target,4601
CatBoost,3,100,0.9456649199830052,0.0034211926662698114,0.9836521394298454,0.004481058436852493,0.9454702977732594,0.0034360001041225884,0.3448008060455322,0.08558743860728706,0.011005783081054687,1.7240040302276611,44,57,77.19298245614034,-1,0,True,Spambase,target,4601
GB-RDT,4,100,0.926103479205023,0.006406603324079504,0.9738648731794257,0.0046876990547689195,0.9254803717776985,0.006632790337291101,242.48798356056213,5.09448801575201,0.10543160438537598,1212.4399178028107,25,57,43.859649122807014,4,100,True,Spambase,target,4601
GB-RDT-Fast,4,100,0.926103479205023,0.006406603324079504,0.9738648731794257,0.0046876990547689195,0.9254803717776985,0.006632790337291101,95.6149832725525,4.980187701680518,0.11061444282531738,478.07491636276245,25,57,43.859649122807014,4,100,True,Spambase,target,4601
GB-sklearn,4,100,0.9467518765047445,0.00464771299084462,0.9853208778684577,0.002900918261686144,0.946602622227085,0.004703835323934877,1.2854202747344972,0.058508379813467355,0.0016747474670410155,6.427101373672485,52,57,91.22807017543859,4,100,True,Spambase,target,4601
XGBoost,4,100,0.950229901335977,0.005279834321381855,0.985939413034745,0.0032610424610448226,0.9501360803101306,0.005278955277783135,0.10459480285644532,0.006368700049932497,0.0013995647430419921,0.5229740142822266,48,57,84.21052631578947,-1,100,True,Spambase,target,4601
CatBoost,4,100,0.9489248453948921,0.005182779781824104,0.985167320409927,0.003950778341595566,0.9487710928375884,0.005307857933242819,0.38704524040222166,0.01975147829620641,0.012486648559570313,1.9352262020111084,52,57,91.22807017543859,-1,0,True,Spambase,target,4601
GB-RDT,5,100,0.9274082991077751,0.006071250308406095,0.9761778329707193,0.004560400583341132,0.9267808285193422,0.006262954035449929,318.18995037078855,12.452325722301849,0.1351149082183838,1590.9497518539429,30,57,52.63157894736842,5,100,True,Spambase,target,4601
GB-RDT-Fast,5,100,0.9274082991077751,0.006071250308406095,0.9761778329707193,0.004560400583341132,0.9267808285193422,0.006262954035449929,117.6371928691864,3.8027272383860447,0.11848788261413574,588.185964345932,30,57,52.63157894736842,5,100,True,Spambase,target,4601
GB-sklearn,5,100,0.9484893546711985,0.004592128460710337,0.9858721962544124,0.0023245171838281236,0.9483897310630832,0.004698389846341026,1.6194337844848632,0.03005740087475493,0.0016542911529541016,8.097168922424316,55,57,96.49122807017544,5,100,True,Spambase,target,4601
XGBoost,5,100,0.9502294292593116,0.004668261429163888,0.9868100905147486,0.002826883055712885,0.9501462393886891,0.004649767254465427,0.11995902061462402,0.005801226485175589,0.0014004707336425781,0.5997951030731201,53,57,92.98245614035088,-1,100,True,Spambase,target,4601
CatBoost,5,100,0.9508813671340226,0.003581391769827636,0.9859790559535441,0.0036035223631274383,0.9507523406501421,0.0036062204974436065,0.4426114559173584,0.017742767509432062,0.010718536376953126,2.213057279586792,54,57,94.73684210526315,-1,0,True,Spambase,target,4601
