algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,3,3.0,8,1.0
RDT-TwoPass,3,onehot,3,3.0,8,1.0
sklearn-DT,3,onehot,4,4.0,8,0.9
OSDT,3,onehot,3,3.0,8,0.0
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,5,5.0,32,1.0
RDT-TwoPass,5,onehot,4,5.0,32,0.77
sklearn-DT,5,onehot,9,5.9998771549076615,30,0.6616899766899766
OSDT,5,onehot,5,5.0,32,0.0
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,7,7.0,128,0.8678571428571429
RDT-TwoPass,7,onehot,4,7.0,128,0.6738095238095239
sklearn-DT,7,onehot,20,7.959297326071823,84,0.5272483024222154
OSDT,7,onehot,7,7.0,128,0.0
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,7,9.0,512,0.7988888888888889
RDT-TwoPass,9,onehot,4,9.0,512,0.7604761904761904
sklearn-DT,9,onehot,35,9.83841775521068,183,0.614827338929043
OSDT,9,onehot,9,9.0,512,0.0
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,3,3.0,8,1.0
RDT-TwoPass,3,target,3,3.0,8,0.7
sklearn-DT,3,target,5,4.0,8,0.8400000000000001
OSDT,3,target,3,3.0,8,0.0
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,5,5.0,32,1.0
RDT-TwoPass,5,target,5,5.0,32,0.5780952380952381
sklearn-DT,5,target,10,5.999610990540928,28,0.7918181818181818
OSDT,5,target,5,5.0,32,0.0
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,7,7.0,128,1.0
RDT-TwoPass,7,target,5,7.0,128,0.47559523809523807
sklearn-DT,7,target,14,7.933028950493428,80,0.8423076923076923
OSDT,7,target,7,7.0,128,0.0
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,7,9.0,512,0.861111111111111
RDT-TwoPass,9,target,7,9.0,512,0.4758333333333333
sklearn-DT,9,target,14,9.81876254043651,197,1.0
OSDT,9,target,9,9.0,512,0.0
ConTree,9,target,-1,9.0,-1,0.0
