algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,success,features_used,avg_path_length,actual_depth,n_leaves,stability,dataset
ODT,3,target,0.8289381162679351,0.0075890364277173,0.8438264469844577,0.0112925636437455,86.76918997764588,0.0472630023956298,"[0.8396970007165524, 0.8227044733340158, 0.8230958230958231, 0.8225839475839476, 0.8366093366093366]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,3.0,3,8,0.0,Adult Income
RDT,3,target,0.8430448164223371,0.0041714872107126,0.857789760781054,0.002405311387378,102.65114831924438,0.0468201160430908,"[0.8421537516634251, 0.8490121813901116, 0.8388615888615889, 0.8466420966420967, 0.8385544635544635]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,3,3.0,3,8,0.0,Adult Income
RDT-TwoPass,3,target,0.844437122006474,0.0036417455198877,0.8578688417776423,0.0022716582851081,123.51298007965087,0.0370188236236572,"[0.8421537516634251, 0.8488074521445389, 0.846027846027846, 0.8466420966420967, 0.8385544635544635]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,3,3.0,3,8,0.0,Adult Income
sklearn-DT,3,target,0.8444985449719813,0.0037642048008734,0.8578980833483024,0.0023107453622568,5.754340410232544,0.0014535903930664,"[0.8419490224178524, 0.8491145460128979, 0.8461302211302212, 0.8467444717444718, 0.8385544635544635]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",True,5,3.0,3,8,0.0,Adult Income
OSDT,3,target,0.7607182362198229,3.815022657841085e-05,0.5,0.0,0.0565031051635742,0.0002809047698974,"[0.7606715119254785, 0.7606715119254785, 0.7607493857493858, 0.7607493857493858, 0.7607493857493858]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,3.0,3,8,0.0,Adult Income
ConTree,3,target,0.8504360032894172,0.0035983341578787,0.7548254254226047,0.0101194490211805,301.5320686817169,0.001799201965332,"[0.8493192752584706, 0.8562800696079435, 0.8497133497133497, 0.8516584766584766, 0.8452088452088452]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Adult Income
ODT,7,onehot,0.8267066303687247,0.0055185309441946,0.8730571012221171,0.0050996155026021,46.12674522399902,0.0293824195861816,"[0.8243423072985976, 0.8238304841846658, 0.823914823914824, 0.8237100737100738, 0.8377354627354627]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,7.0,7,128,0.0,Adult Income
RDT,7,onehot,0.852954411944585,0.0033231534397783,0.8905185537909499,0.0025185612554955,55.24386892318726,0.0291216373443603,"[0.8497287337496161, 0.8567918927218753, 0.8541154791154791, 0.8557534807534808, 0.8483824733824734]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,7,7.0,7,128,0.0,Adult Income
RDT-TwoPass,7,onehot,0.8512754162513605,0.0048424505956521,0.8763502330667791,0.0082432143560788,85.20938973426819,0.0278971195220947,"[0.8487050875217524, 0.8599651960282526, 0.8522727272727273, 0.8498157248157249, 0.8456183456183456]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",True,4,7.0,7,128,0.0,Adult Income
sklearn-DT,7,onehot,0.8559640785687463,0.0031668196944508,0.9006423224576604,0.0009838975699052,11.569097518920898,0.0024844646453857,"[0.8537209540382844, 0.8606817483877572, 0.8584152334152334, 0.855036855036855, 0.851965601965602]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 10}",True,18,7.0,7,78,0.0,Adult Income
