algorithm,depth,encoding,best_params
ODT,3,onehot,"{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}"
RDT,3,onehot,"{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}"
RDT-TwoPass,3,onehot,"{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}"
sklearn-DT,3,onehot,"{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
OSDT,3,onehot,"{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}"
ConTree,3,onehot,"{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}"
ODT,5,onehot,"{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}"
RDT,5,onehot,"{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}"
RDT-TwoPass,5,onehot,"{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}"
sklearn-DT,5,onehot,"{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
OSDT,5,onehot,"{'max_depth': 5, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}"
ConTree,5,onehot,"{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.1, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}"
ODT,7,onehot,"{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}"
RDT,7,onehot,"{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}"
RDT-TwoPass,7,onehot,"{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 2}"
sklearn-DT,7,onehot,"{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}"
OSDT,7,onehot,"{'max_depth': 7, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}"
ConTree,7,onehot,"{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.1, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}"
ODT,9,onehot,"{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}"
