algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,3,3.0,8,0.8
RDT-TwoPass,3,onehot,2,3.0,8,1.0
sklearn-DT,3,onehot,4,4.0,8,0.85
OSDT,3,onehot,3,3.0,8,0.0
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,4,5.0,32,0.8400000000000001
RDT-TwoPass,5,onehot,3,5.0,32,0.6783333333333333
sklearn-DT,5,onehot,15,5.999283282565848,31,0.5268895277409209
OSDT,5,onehot,5,5.0,32,0.0
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,6,7.0,128,0.8476190476190476
RDT-TwoPass,7,onehot,5,7.0,128,0.4603174603174603
sklearn-DT,7,onehot,29,7.983963447410858,87,0.6706195117343126
OSDT,7,onehot,7,7.0,128,0.0
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,8,9.0,512,0.8347222222222221
RDT-TwoPass,9,onehot,7,9.0,512,0.65
sklearn-DT,9,onehot,34,9.925192617810428,203,0.7916934140618352
OSDT,9,onehot,9,9.0,512,0.0
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,3,3.0,8,1.0
RDT-TwoPass,3,target,2,3.0,8,0.7333333333333333
sklearn-DT,3,target,4,4.0,8,1.0
OSDT,3,target,3,3.0,8,0.0
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,4,5.0,32,0.8400000000000001
RDT-TwoPass,5,target,3,5.0,32,1.0
sklearn-DT,5,target,11,6.0,32,0.6631118881118881
OSDT,5,target,5,5.0,32,0.0
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,6,7.0,128,0.5809523809523809
RDT-TwoPass,7,target,5,7.0,128,0.6333333333333333
sklearn-DT,7,target,15,7.9640745386131515,100,0.885
OSDT,7,target,7,7.0,128,0.0
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,8,9.0,512,0.6502777777777778
RDT-TwoPass,9,target,6,9.0,512,0.6857142857142857
sklearn-DT,9,target,16,9.76661888550439,228,0.975
OSDT,9,target,9,9.0,512,0.0
ConTree,9,target,-1,9.0,-1,0.0
