algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_train_time
ConTree,3,onehot,0.7815800223753506,0.005364274838895413,35.184616565704346
ConTree,3,target,0.8004837024303096,0.0038847470067309383,17.670917987823486
ConTree,5,onehot,0.7909863372321659,0.00717600746261161,300.03901047706603
ConTree,5,target,0.8214478729773502,0.005515974855513617,300.02398028373716
ConTree,7,onehot,0.7897320977131878,0.008021057641760657,299.9970643520355
ConTree,7,target,0.7974438890734775,0.0389234908642292,299.9989371776581
ConTree,9,onehot,0.7818478765086107,0.010509246150782046,300.0282576560974
ConTree,9,target,0.7744185859869953,0.03053826794007412,300.00665655136106
ODT,3,onehot,0.7419838781907747,0.016283492843249234,0.7632604598999023
ODT,3,target,0.7470924885274162,0.03029541955292107,0.8172612190246582
ODT,5,onehot,0.7521090051957683,0.024521759839277856,1.0602583408355712
ODT,5,target,0.7562312702746518,0.031031236466836882,0.9781912803649903
ODT,7,onehot,0.75443791161255,0.024315855278633967,1.108896255493164
ODT,7,target,0.7582021149040059,0.034362667974792545,1.014193058013916
ODT,9,onehot,0.7583806843261793,0.028525946164421136,1.080322790145874
ODT,9,target,0.7633987659849729,0.036611947127525225,1.0753605842590332
OSDT,3,onehot,0.5261601795806469,0.00016647679940262044,0.002794981002807617
OSDT,3,target,0.5261601795806469,0.00016647679940262044,0.001779031753540039
OSDT,5,onehot,0.5261601795806469,0.00016647679940262044,0.0036403656005859373
OSDT,5,target,0.5261601795806469,0.00016647679940262044,0.002041339874267578
OSDT,7,onehot,0.5261601795806469,0.00016647679940262044,0.0025438785552978514
OSDT,7,target,0.5261601795806469,0.00016647679940262044,0.002014780044555664
OSDT,9,onehot,0.5261601795806469,0.00016647679940262044,0.0026180267333984373
OSDT,9,target,0.5261601795806469,0.00016647679940262044,0.0022098064422607423
RDT,3,onehot,0.7419838781907747,0.016283492843249234,1.142738676071167
RDT,3,target,0.7470924885274162,0.03029541955292107,1.1444788455963135
RDT,5,onehot,0.7859690982605332,0.005619676152243815,1.5536535739898683
RDT,5,target,0.8028122878234113,0.008291888112549816,1.5298758029937745
RDT,7,onehot,0.7956443105775698,0.008539081384212605,1.689750576019287
RDT,7,target,0.8143691403146353,0.00805053356251836,1.61183500289917
RDT,9,onehot,0.8053195630225665,0.01015721803341087,1.7296526432037354
RDT,9,target,0.819655236618529,0.007705841086055232,1.6798486232757568
RDT-TwoPass,3,onehot,0.7623172372060025,0.00858590608203908,1.7438081741333007
RDT-TwoPass,3,target,0.7637512499859552,0.0037483199908939454,1.6856363773345948
RDT-TwoPass,5,onehot,0.7728883463588693,0.009661300892704807,3.026563310623169
RDT-TwoPass,5,target,0.7985118546019547,0.005465276385481196,2.9076908588409425
RDT-TwoPass,7,onehot,0.7883878913078023,0.010030184921879147,4.263206195831299
RDT-TwoPass,7,target,0.8076498739179495,0.00863926474748626,4.483283042907715
RDT-TwoPass,9,onehot,0.7844462823050142,0.012177459486601103,5.622755432128907
RDT-TwoPass,9,target,0.8107862351466355,0.007093880270509181,5.8257731914520265
sklearn-DT,3,onehot,0.7744125266650295,0.004463894155321675,0.7598076343536377
sklearn-DT,3,target,0.7858816193076482,0.005714358719318485,0.7021412372589111
sklearn-DT,5,onehot,0.7987801100148152,0.007000873013947495,1.2110477924346923
sklearn-DT,5,target,0.8113239096831977,0.006617690771009199,1.1156795024871826
sklearn-DT,7,onehot,0.8132942727770314,0.010212813515289746,1.5639713764190675
sklearn-DT,7,target,0.8266440023948366,0.005673104154369243,1.4597947597503662
sklearn-DT,9,onehot,0.820999844303515,0.0066238199916926754,2.029913377761841
sklearn-DT,9,target,0.8195683595850447,0.01319594484148237,1.8990110874176025
