algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.7860365834573287,0.007767646523512432
ConTree,target,0.7984485126170332,0.019715620166636968
ODT,onehot,0.7517278698313181,0.023411763531395548
ODT,target,0.7562311599227617,0.033075317780518934
OSDT,onehot,0.5261601795806469,0.00016647679940262044
OSDT,target,0.5261601795806469,0.00016647679940262044
RDT,onehot,0.782229212512861,0.010149867103279132
RDT,target,0.7959822883209979,0.013585920578511119
RDT-TwoPass,onehot,0.7770099392944221,0.010113712845806033
RDT-TwoPass,target,0.7951748034131237,0.006236685348592645
sklearn-DT,onehot,0.8018716884400978,0.0070753501690628984
sklearn-DT,target,0.8108544727426819,0.007800274621544824
