dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Bank Marketing,onehot,ODT,3,0.7419838781907747,0.016283492843249234,0.7890938068124731,0.02051001235976292,0.7632604598999023,0.001998758316040039,"[0.7348858038513211, 0.7250335871025526, 0.7589605734767025, 0.7638888888888888, 0.7271505376344086]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Bank Marketing,onehot,RDT,3,0.7419838781907747,0.016283492843249234,0.7930534168896655,0.025378360187527125,1.142738676071167,0.002117347717285156,"[0.7348858038513211, 0.7250335871025526, 0.7589605734767025, 0.7638888888888888, 0.7271505376344086]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.8
Bank Marketing,onehot,RDT-TwoPass,3,0.7623172372060025,0.00858590608203908,0.8262473445137074,0.005208159622725341,1.7438081741333007,0.00200958251953125,"[0.7756381549484997, 0.7639946260635916, 0.7589605734767025, 0.7638888888888888, 0.7491039426523297]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",2,3.0,3,8,1.0
Bank Marketing,onehot,sklearn-DT,3,0.7744125266650295,0.004463894155321675,0.8284774352169529,0.007001247637221015,0.7598076343536377,0.00039958953857421875,"[0.7814599193909538, 0.7747424988804299, 0.7674731182795699, 0.7732974910394266, 0.775089605734767]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",4,4.0,3,8,0.85
Bank Marketing,onehot,OSDT,3,0.5261601795806469,0.00016647679940262044,0.5,0.0,0.002794981002807617,0.0,"[0.5261979399910435, 0.5261979399910435, 0.5259856630824373, 0.5259856630824373, 0.5264336917562724]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Bank Marketing,onehot,ConTree,3,0.7815800223753506,0.005364274838895413,0.7959177425153089,0.006370232779506878,35.184616565704346,0.00019993782043457032,"[0.7814599193909538, 0.7854903716972682, 0.7885304659498208, 0.7728494623655914, 0.7795698924731183]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Bank Marketing,onehot,ODT,5,0.7521090051957683,0.024521759839277856,0.8073051783731428,0.021494485568931375,1.0602583408355712,0.0025723934173583984,"[0.7348858038513211, 0.728616211374832, 0.7827060931899642, 0.7813620071684588, 0.7329749103942652]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Bank Marketing,onehot,RDT,5,0.7859690982605332,0.005619676152243815,0.8457176595023821,0.0017383307190426721,1.5536535739898683,0.0029208183288574217,"[0.7953425884460367, 0.7895208240035826, 0.7827060931899642, 0.7813620071684588, 0.7809139784946236]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",4,5.0,5,32,0.8400000000000001
Bank Marketing,onehot,RDT-TwoPass,5,0.7728883463588693,0.009661300892704807,0.8500194746990577,0.007908911273498104,3.026563310623169,0.0026477813720703126,"[0.7908643081056874, 0.7751903269144649, 0.7670250896057348, 0.7656810035842294, 0.7656810035842294]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,5.0,5,32,0.6783333333333333
Bank Marketing,onehot,sklearn-DT,5,0.7987801100148152,0.007000873013947495,0.8682691285891234,0.0031275061543663404,1.2110477924346923,0.00020022392272949218,"[0.8047469771607703, 0.8092252575011196, 0.7939068100358423, 0.7907706093189965, 0.7952508960573477]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",15,5.999283282565848,5,31,0.5268895277409209
