algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_train_time
ConTree,3,onehot,0.9367489520260829,0.013966290724819556,0.680686616897583
ConTree,3,target,0.9367489520260829,0.013966290724819556,0.715637493133545
ConTree,5,onehot,0.9068933395435492,0.01790671602743863,0.016819858551025392
ConTree,5,target,0.9068933395435492,0.01790671602743863,0.01581439971923828
ConTree,7,onehot,0.9139419344822233,0.028933733003205068,0.0030200958251953127
ConTree,7,target,0.9139419344822233,0.028933733003205068,0.002573251724243164
ConTree,9,onehot,0.8875950939295141,0.025461080110428438,0.004021644592285156
ConTree,9,target,0.8875950939295141,0.025461080110428438,0.004492950439453125
ODT,3,onehot,0.9156963204471354,0.029570630705663924,0.7209038734436035
ODT,3,target,0.9156963204471354,0.029570630705663924,0.9142956733703613
ODT,5,onehot,0.9121720229777985,0.023416744632733834,1.1258738040924072
ODT,5,target,0.9121720229777985,0.023416744632733834,1.1583106517791748
ODT,7,onehot,0.9156807949076231,0.029586497247011047,1.3843914031982423
ODT,7,target,0.9156807949076231,0.029586497247011047,1.327345037460327
ODT,9,onehot,0.9156807949076231,0.029586497247011047,1.1959152698516846
ODT,9,target,0.9156807949076231,0.029586497247011047,1.204375982284546
OSDT,3,onehot,0.6274181027790716,0.003948679172659169,0.0003345489501953125
OSDT,3,target,0.6274181027790716,0.003948679172659169,0.00019998550415039061
OSDT,5,onehot,0.6274181027790716,0.003948679172659169,0.0
OSDT,5,target,0.6274181027790716,0.003948679172659169,0.0
OSDT,7,onehot,0.6274181027790716,0.003948679172659169,0.0004131793975830078
OSDT,7,target,0.6274181027790716,0.003948679172659169,0.00042281150817871096
OSDT,9,onehot,0.6274181027790716,0.003948679172659169,0.00019941329956054687
OSDT,9,target,0.6274181027790716,0.003948679172659169,0.00019974708557128905
RDT,3,onehot,0.9226983387672721,0.020972090485664358,1.07897629737854
RDT,3,target,0.9226983387672721,0.020972090485664358,1.1340715885162354
RDT,5,onehot,0.9209594783418723,0.021373170687410306,1.6836135864257813
RDT,5,target,0.9209594783418723,0.021373170687410306,1.6061529636383056
RDT,7,onehot,0.9104176370128861,0.01856941497834148,1.8856520175933837
RDT,7,target,0.9104176370128861,0.01856941497834148,1.8706414222717285
RDT,9,onehot,0.9104176370128861,0.01856941497834148,1.7938745021820068
RDT,9,target,0.9104176370128861,0.01856941497834148,1.789539384841919
RDT-TwoPass,3,onehot,0.924468250271697,0.026873089921960962,1.4356196403503418
RDT-TwoPass,3,target,0.924468250271697,0.026873089921960962,1.623744821548462
RDT-TwoPass,5,onehot,0.9385343890700202,0.020679668953377698,2.1248824119567873
RDT-TwoPass,5,target,0.9385343890700202,0.020679668953377698,1.9541348934173584
RDT-TwoPass,7,onehot,0.935010091600683,0.015187945820896142,2.0636565685272217
RDT-TwoPass,7,target,0.935010091600683,0.015187945820896142,2.133665657043457
RDT-TwoPass,9,onehot,0.935010091600683,0.015187945820896142,2.1560065269470217
RDT-TwoPass,9,target,0.935010091600683,0.015187945820896142,2.194418525695801
sklearn-DT,3,onehot,0.9156807949076231,0.01792607594675358,0.27967543601989747
sklearn-DT,3,target,0.9209439528023597,0.018297531703108907,0.27314186096191406
sklearn-DT,5,onehot,0.9314702685918336,0.019498149201002596,0.3617379188537598
sklearn-DT,5,target,0.9244837758112094,0.029587026799873312,0.319151782989502
sklearn-DT,7,onehot,0.9262071106970968,0.016188723569667256,0.33016357421875
sklearn-DT,7,target,0.9191740412979351,0.01279264887702184,0.3311938762664795
sklearn-DT,9,onehot,0.9297003570874087,0.014680347912097809,0.35210461616516114
sklearn-DT,9,target,0.915680794907623,0.02508248811894258,0.34577040672302245
