algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.9112948299953424,0.021566954966472922
ConTree,target,0.9112948299953424,0.021566954966472922
ODT,onehot,0.914807483310045,0.028040092458104963
ODT,target,0.914807483310045,0.028040092458104963
OSDT,onehot,0.6274181027790716,0.003948679172659169
OSDT,target,0.6274181027790716,0.003948679172659169
RDT,onehot,0.9161232727837292,0.019871022782439407
RDT,target,0.9161232727837292,0.019871022782439407
RDT-TwoPass,onehot,0.9332557056357709,0.019482162629282734
RDT-TwoPass,target,0.9332557056357709,0.019482162629282734
sklearn-DT,onehot,0.9257646328209905,0.01707332415738031
sklearn-DT,target,0.9200706412047819,0.02143992387473666
