dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Breast Cancer,onehot,ODT,3,0.9156963204471354,0.029570630705663924,0.9506393117533797,0.032200592970120206,0.7209038734436035,0.0,"[0.9210526315789473, 0.8859649122807017, 0.9473684210526315, 0.8771929824561403, 0.9469026548672567]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Breast Cancer,onehot,RDT,3,0.9226983387672721,0.020972090485664358,0.9294911913340508,0.050386413613546725,1.07897629737854,0.00020418167114257812,"[0.9210526315789473, 0.8859649122807017, 0.9473684210526315, 0.9210526315789473, 0.9380530973451328]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",3,3.0,3,8,0.345
Breast Cancer,onehot,RDT-TwoPass,3,0.924468250271697,0.026873089921960962,0.9318954099272638,0.05258486477512843,1.4356196403503418,0.00020017623901367188,"[0.9385964912280702, 0.8771929824561403, 0.9473684210526315, 0.9122807017543859, 0.9469026548672567]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,3.0,3,8,0.22999999999999998
Breast Cancer,onehot,sklearn-DT,3,0.9156807949076231,0.01792607594675358,0.9210475384607385,0.0452456412845893,0.27967543601989747,0.00020012855529785156,"[0.9122807017543859, 0.8859649122807017, 0.9298245614035088, 0.9122807017543859, 0.9380530973451328]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",7,4.0,3,8,0.3042063492063492
Breast Cancer,onehot,OSDT,3,0.6274181027790716,0.003948679172659169,0.5,0.0,0.0003345489501953125,0.0,"[0.6228070175438597, 0.6228070175438597, 0.631578947368421, 0.631578947368421, 0.6283185840707964]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Breast Cancer,onehot,ConTree,3,0.9367489520260829,0.013966290724819556,0.9228973431458692,0.030319486261097584,0.680686616897583,0.00019211769104003905,"[0.9473684210526315, 0.9122807017543859, 0.9298245614035088, 0.9473684210526315, 0.9469026548672567]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Breast Cancer,onehot,ODT,5,0.9121720229777985,0.023416744632733834,0.966889710355154,0.015930897131191214,1.1258738040924072,0.0,"[0.9210526315789473, 0.868421052631579, 0.9210526315789473, 0.9122807017543859, 0.9380530973451328]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",5,5.0,5,32,0.0
Breast Cancer,onehot,RDT,5,0.9209594783418723,0.021373170687410306,0.9559905622364677,0.03816552046376988,1.6836135864257813,0.0,"[0.9385964912280702, 0.8859649122807017, 0.9122807017543859, 0.9210526315789473, 0.9469026548672567]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 2}",5,5.0,5,32,0.21547619047619046
Breast Cancer,onehot,RDT-TwoPass,5,0.9385343890700202,0.020679668953377698,0.944321116188951,0.041665643683165235,2.1248824119567873,0.00010485649108886719,"[0.9473684210526315, 0.9035087719298246, 0.9473684210526315, 0.9298245614035088, 0.9646017699115044]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",5,5.0,5,32,0.3171825396825397
Breast Cancer,onehot,sklearn-DT,5,0.9314702685918336,0.019498149201002596,0.925610488945733,0.021363628198595896,0.3617379188537598,0.0003998279571533203,"[0.9473684210526315, 0.8947368421052632, 0.9473684210526315, 0.9298245614035088, 0.9380530973451328]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",13,5.576449912126538,5,15,0.32511606041017804
