algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.659089228872966,0.00080474324288535
ConTree,target,0.6589958566602263,0.00072761982631335
ODT,onehot,0.6728664828124611,0.000768626277631125
ODT,target,0.6728664828124611,0.000768626277631125
RDT,onehot,0.686428595199654,0.00081160753712005
RDT,target,0.686428595199654,0.00081160753712005
RDT-TwoPass,onehot,0.6982054629486815,0.002169013683633825
RDT-TwoPass,target,0.6982054629486815,0.002169013683633825
sklearn-DT,onehot,0.7175178846789095,0.001304822148301325
sklearn-DT,target,0.717514442408474,0.00131069751203965
