algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,success,features_used,avg_path_length,actual_depth,n_leaves,stability,dataset
ODT,3,target,0.6706935505599702,0.0008148701150487,,,202.63273406028748,0.1641258716583252,"[0.6693200691892636, 0.6708690825538067, 0.6717698490559543, 0.6710986041548338, 0.6704101478459923]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,3.0,3,8,0.0,Cover Type
RDT,3,target,0.6733406560028274,0.0006485496828451,,,281.5502435207367,0.2006016254425048,"[0.6722115608030774, 0.6732442363794394, 0.6740675719867127, 0.6738782465017814, 0.6733016643431267]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,2,3.0,3,8,0.0,Cover Type
RDT-TwoPass,3,target,0.6712219372963035,0.0008485093267923,,,431.30017547607423,0.2003755092620849,"[0.6699654914244899, 0.6722459833222895, 0.672096865802654, 0.670917884373763, 0.6708834615583209]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,2,3.0,3,8,0.0,Cover Type
sklearn-DT,3,target,0.6772837753667345,0.0008266288887428,,,108.379616689682,0.0159817218780517,"[0.6760754885846321, 0.6775986850597661, 0.6780261957625514, 0.6765546204024027, 0.6781638870243197]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",True,5,3.0,3,8,0.0,Cover Type
ConTree,3,target,0.6858343731736027,0.0009622988614181,,,351.38073992729187,0.0118131160736083,"[0.6843541044551346, 0.6864883006462827, 0.6870880019276777, 0.6860381060566944, 0.6852033527822241]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Cover Type
ODT,7,onehot,0.6737485634331392,0.0005646161365975,,,205.64332518577572,0.1937319278717041,"[0.6733388983072727, 0.6738208135762416, 0.6746097313299255, 0.6740073320596892, 0.6729660418925664]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,7.0,7,128,0.0,Cover Type
RDT,7,onehot,0.6895657931704768,0.000647105586471,,,280.7809519767761,0.3389155864715576,"[0.6883471166837345, 0.6901629045721711, 0.6900483640556961, 0.6895664446395071, 0.6897041359012753]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,5,7.0,7,128,0.0,Cover Type
RDT-TwoPass,7,onehot,0.7072452909283433,0.003216794100069,,,622.7347069740296,0.3620290279388428,"[0.7069438826880545, 0.7065738406065248, 0.7042994096487152, 0.7050308944768593, 0.7133784272215624]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,5,7.0,7,128,0.0,Cover Type
sklearn-DT,7,onehot,0.7286303897644992,0.0013520506378639,,,351.55433373451234,0.0254027366638183,"[0.7278555631093861, 0.7293873652143232, 0.7308910345777181, 0.7270959191752293, 0.7279220667458391]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}",True,23,7.0,7,125,0.0,Cover Type
ConTree,7,onehot,0.6503893256996094,0.0014135358876383,,,319.1994394302368,0.0180899620056152,"[0.647900656609554, 0.6499746133920811, 0.6520197586960638, 0.6513054852756407, 0.650746114524707]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Cover Type
ODT,9,onehot,0.6751289145258106,0.0008626093840308,,,203.4566625118256,0.1937088966369629,"[0.6737175460186053, 0.6756538127242843, 0.676244815063424, 0.675315399046488, 0.6747129997762517]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,-1,9.0,9,512,0.0,Cover Type
RDT,9,onehot,0.6981628608598788,0.0007141233665884,,,302.3387279510498,0.3875233650207519,"[0.6975035067941447, 0.6987082949665672, 0.6986024336930517, 0.697113646925182, 0.6988864219204489]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,6,9.0,9,512,0.0,Cover Type
RDT-TwoPass,9,onehot,0.7309780289176868,0.0032553491845356,,,832.8279561042785,0.4521949291229248,"[0.7288968443155512, 0.7265216904899185, 0.7323798213455879, 0.7309340630970207, 0.7361577253403556]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,5,9.0,9,512,0.0,Cover Type
sklearn-DT,9,onehot,0.7617450297403471,0.002077086565049,,,252.17762789726257,0.017782974243164,"[0.7580010843093552, 0.7622694766916517, 0.7643930397067176, 0.762258825149309, 0.7618027228447015]","{'ccp_alpha': 0.0, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 2}",True,30,9.0,9,431,0.0,Cover Type
ConTree,9,onehot,0.6474978148160335,0.0004009487500646,,,307.49421591758727,0.0153447151184082,"[0.6478146003115238, 0.6467991359947678, 0.6479578664738989, 0.6474415242422678, 0.6474759470577098]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Cover Type
