algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,3,3.0,8,1.0
RDT-TwoPass,3,onehot,3,3.0,8,1.0
sklearn-DT,3,onehot,6,4.0,8,0.8666666666666666
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,5,5.0,32,0.6261904761904762
RDT-TwoPass,5,onehot,4,5.0,32,0.8800000000000001
sklearn-DT,5,onehot,11,5.99948571008743,31,0.7493589743589744
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,7,7.0,128,0.6886904761904762
RDT-TwoPass,7,onehot,5,7.0,128,0.9000000000000001
sklearn-DT,7,onehot,16,7.81999853060025,94,0.8983333333333334
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,8,9.0,512,0.625
RDT-TwoPass,9,onehot,5,9.0,512,0.7136904761904761
sklearn-DT,9,onehot,16,9.485489677466754,192,0.975
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,3,3.0,8,1.0
RDT-TwoPass,3,target,3,3.0,8,1.0
sklearn-DT,3,target,5,4.0,8,0.8666666666666668
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,5,5.0,32,0.6261904761904762
RDT-TwoPass,5,target,4,5.0,32,0.8800000000000001
sklearn-DT,5,target,12,5.99948571008743,31,0.7582783882783882
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,7,7.0,128,0.6886904761904762
RDT-TwoPass,7,target,5,7.0,128,0.9000000000000001
sklearn-DT,7,target,15,7.81999853060025,94,0.925
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,8,9.0,512,0.625
RDT-TwoPass,9,target,5,9.0,512,0.7136904761904761
sklearn-DT,9,target,16,9.485489677466754,192,0.975
ConTree,9,target,-1,9.0,-1,0.0
