algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.6672354960317085,0.015493523329236768
ConTree,target,0.6640399508581077,0.013438065491431244
ODT,onehot,0.5953272771230893,0.0021789973551471055
ODT,target,0.5953272771230893,0.0021789973551471055
RDT,onehot,0.8749365691285194,0.00924638477727187
RDT,target,0.8749365691285194,0.00924638477727187
RDT-TwoPass,onehot,0.8853687989459265,0.004689922683411187
RDT-TwoPass,target,0.8853687989459265,0.004689922683411187
sklearn-DT,onehot,0.8708759882277484,0.005946379191194497
sklearn-DT,target,0.8706372067156989,0.005868851440256055
