dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Dry Bean,onehot,ODT,3,0.5897435593009505,0.0027471842638018937,,,21.786033964157106,0.002309560775756836,"[0.5901579140653691, 0.5933137398971344, 0.5848640705363704, 0.5907421013960323, 0.5896399706098457]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Dry Bean,onehot,RDT,3,0.8377056089808885,0.00673884740285616,,,75.60798568725586,0.0030585289001464843,"[0.8266617701065002, 0.8412931667891257, 0.8339456282145481, 0.8460690668626011, 0.8405584129316679]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,1.0
Dry Bean,onehot,RDT-TwoPass,3,0.8377056089808885,0.00673884740285616,,,49.24101495742798,0.0028271198272705076,"[0.8266617701065002, 0.8412931667891257, 0.8339456282145481, 0.8460690668626011, 0.8405584129316679]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,1.0
Dry Bean,onehot,sklearn-DT,3,0.7842168503371422,0.012523877151950406,,,3.27724552154541,0.0006212711334228516,"[0.808666911494675, 0.7777369581190301, 0.7744305657604702, 0.7828802351212344, 0.7773695811903012]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",6,4.0,3,8,0.8666666666666666
Dry Bean,onehot,ConTree,3,0.8651827588914525,0.0031606896212201013,,,37.164183902740476,0.0005917072296142579,"[0.8626514873301506, 0.8684790595150624, 0.8626010286554004, 0.869581190301249, 0.8626010286554004]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Dry Bean,onehot,ODT,5,0.5964293876718394,0.001253390217109428,,,22.035423851013185,0.0037909507751464843,"[0.5960337862651487, 0.5958853783982366, 0.5951506245407788, 0.5962527553269654, 0.5988243938280676]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Dry Bean,onehot,RDT,5,0.8670203720828074,0.013224069995919095,,,33.707323265075686,0.004747772216796875,"[0.8527359529930224, 0.8795003673769287, 0.852314474650992, 0.8842762674504041, 0.8662747979426892]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",5,5.0,5,32,0.6261904761904762
Dry Bean,onehot,RDT-TwoPass,5,0.8926604754502359,0.0032601983173091726,,,67.17716517448426,0.004697942733764648,"[0.8909291222915902, 0.8912564290962528, 0.8897869213813373, 0.8989713445995592, 0.8923585598824394]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",4,5.0,5,32,0.8800000000000001
Dry Bean,onehot,sklearn-DT,5,0.8843578378107088,0.004653001956430027,,,5.267851686477661,0.0010062694549560548,"[0.8898273962541314, 0.8861131520940485, 0.8761939750183688, 0.8828067597354886, 0.8868479059515062]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",11,5.99948571008743,5,31,0.7493589743589744
Dry Bean,onehot,ConTree,5,0.7219899174393545,0.004616098563266019,,,299.99839677810667,0.0,"[0.7172236503856041, 0.7303453343130052, 0.7207935341660544, 0.7229977957384276, 0.7185892725936811]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,5.0,-1,-1,0.0
Dry Bean,onehot,ODT,7,0.5976048049610322,0.0023652660969726838,,,21.558895921707155,0.003946495056152344,"[0.5986044803525523, 0.5962527553269654, 0.5962527553269654, 0.5951506245407788, 0.6017634092578986]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 5}",7,7.0,7,128,0.0
Dry Bean,onehot,RDT,7,0.8967754208509815,0.008194491322805397,,,34.29824137687683,0.00538330078125,"[0.8865222181417555, 0.9026451138868479, 0.8883174136664217, 0.9077883908890522, 0.8986039676708303]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",7,7.0,7,128,0.6886904761904762
Dry Bean,onehot,RDT-TwoPass,7,0.9043423872026007,0.003993745580590063,,,132.7342216014862,0.005658102035522461,"[0.9001101726037458, 0.9099926524614255, 0.9026451138868479, 0.9081557678177811, 0.9008082292432035]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 2}",5,7.0,7,128,0.9000000000000001
Dry Bean,onehot,sklearn-DT,7,0.9038276007871554,0.003399301265252194,,,6.937950229644775,0.000601816177368164,"[0.9063532868160118, 0.9081557678177811, 0.899338721528288, 0.9004408523144747, 0.9048493754592212]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 5, 'min_samples_split': 2}",16,7.81999853060025,7,94,0.8983333333333334
Dry Bean,onehot,ConTree,7,0.5466143983153818,0.0423733398784369,,,300.0034714698792,0.00040130615234375,"[0.5780389276533235, 0.5833945628214549, 0.46583394562821456, 0.5569434239529758, 0.5488611315209405]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,7.0,-1,-1,0.0
Dry Bean,onehot,ODT,9,0.597531356558535,0.002350148842704416,,,21.640448093414307,0.003906822204589844,"[0.5982372383400661, 0.5966201322556943, 0.5958853783982366, 0.5951506245407788, 0.6017634092578986]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 5}",9,9.0,9,512,0.0
Dry Bean,onehot,RDT,9,0.8982448745993998,0.008828130387506827,,,35.77361273765564,0.005948066711425781,"[0.8872567021667279, 0.9011756061719324, 0.8883174136664217, 0.9070536370315944, 0.9074210139603233]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 2}",8,9.0,9,512,0.625
Dry Bean,onehot,RDT-TwoPass,9,0.9067667241499805,0.0047668994328893535,,,98.1193778038025,0.005219841003417968,"[0.9048843187660668, 0.9048493754592212, 0.9033798677443057, 0.9162380602498164, 0.9044819985304923]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 2}",5,9.0,9,512,0.7136904761904761
Dry Bean,onehot,sklearn-DT,9,0.9111016639759871,0.003209336391145361,,,8.429411172866821,0.0006070137023925781,"[0.9063532868160118, 0.9121969140337987, 0.9099926524614255, 0.9107274063188832, 0.9162380602498164]","{'ccp_alpha': 0.0, 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10}",16,9.485489677466754,9,192,0.975
Dry Bean,onehot,ConTree,9,0.5351549094806453,0.011823965254024049,,,300.00046758651735,0.0025240898132324217,"[0.541681968417187, 0.5529022777369581, 0.5312270389419544, 0.5326965466568699, 0.5172667156502572]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,9.0,-1,-1,0.0
Dry Bean,target,ODT,3,0.5897435593009505,0.0027471842638018937,,,23.044072341918945,0.002753162384033203,"[0.5901579140653691, 0.5933137398971344, 0.5848640705363704, 0.5907421013960323, 0.5896399706098457]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Dry Bean,target,RDT,3,0.8377056089808885,0.00673884740285616,,,34.66849269866943,0.0030183315277099608,"[0.8266617701065002, 0.8412931667891257, 0.8339456282145481, 0.8460690668626011, 0.8405584129316679]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,1.0
Dry Bean,target,RDT-TwoPass,3,0.8377056089808885,0.00673884740285616,,,51.74731330871582,0.002801322937011719,"[0.8266617701065002, 0.8412931667891257, 0.8339456282145481, 0.8460690668626011, 0.8405584129316679]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,1.0
Dry Bean,target,sklearn-DT,3,0.7842168503371422,0.012523877151950406,,,3.417171287536621,0.0002002716064453125,"[0.808666911494675, 0.7777369581190301, 0.7744305657604702, 0.7828802351212344, 0.7773695811903012]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",5,4.0,3,8,0.8666666666666668
Dry Bean,target,ConTree,3,0.8651827588914525,0.0031606896212201013,,,39.59665842056275,0.0005985260009765625,"[0.8626514873301506, 0.8684790595150624, 0.8626010286554004, 0.869581190301249, 0.8626010286554004]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Dry Bean,target,ODT,5,0.5964293876718394,0.001253390217109428,,,22.418069791793823,0.003598737716674805,"[0.5960337862651487, 0.5958853783982366, 0.5951506245407788, 0.5962527553269654, 0.5988243938280676]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
