algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_train_time
ConTree,3,onehot,0.978433178644514,0.0019804930107899304,147.4666606903076
ConTree,3,target,0.9783773127227262,0.001942229836276708,299.9115242958069
ConTree,5,onehot,0.962898518827237,0.02764797221799434,300.0525375366211
ConTree,5,target,0.962898518827237,0.02764797221799434,300.023575925827
ConTree,7,onehot,0.9037323243438993,0.001048192783161357,300.0085162639618
ConTree,7,target,0.9037323243438993,0.001048192783161357,300.00602288246154
ConTree,9,onehot,0.9469783232730968,0.009249218271259404,299.8276443004608
ConTree,9,target,0.9409989994396237,0.004709667604613773,299.72875890731814
ODT,3,onehot,0.9772040503183529,0.0013884764110590603,75.67798132896424
ODT,3,target,0.9772040503183529,0.0013884764110590603,77.66487112045289
ODT,5,onehot,0.9772040503183529,0.0013884764110590603,95.82922368049621
ODT,5,target,0.9772040503183529,0.0013884764110590603,122.89363031387329
ODT,7,onehot,0.977148168787199,0.001386375294087209,103.01398768424988
ODT,7,target,0.977148168787199,0.001386375294087209,104.22242350578308
ODT,9,onehot,0.977148168787199,0.001386375294087209,104.96135106086732
ODT,9,target,0.977148168787199,0.001386375294087209,105.65465159416199
OSDT,3,onehot,0.9084255300550541,0.00010455440151957822,0.018274927139282228
OSDT,3,target,0.9084255300550541,0.00010455440151957822,0.040545082092285155
OSDT,5,onehot,0.9084255300550541,0.00010455440151957822,0.01836256980895996
OSDT,5,target,0.9084255300550541,0.00010455440151957822,0.018338394165039063
OSDT,7,onehot,0.9084255300550541,0.00010455440151957822,0.018239593505859374
OSDT,7,target,0.9084255300550541,0.00010455440151957822,0.018527841567993163
OSDT,9,onehot,0.9084255300550541,0.00010455440151957822,0.018453073501586915
OSDT,9,target,0.9084255300550541,0.00010455440151957822,0.01865110397338867
RDT,3,onehot,0.9767569980691213,0.0021399244315634855,104.07879009246827
RDT,3,target,0.9767569980691213,0.0021399244315634855,108.60311622619629
RDT,5,onehot,0.9765334719445058,0.0022720446047760964,137.67307085990905
RDT,5,target,0.9765334719445058,0.0022720446047760964,141.56446566581727
RDT,7,onehot,0.9767012101941649,0.002066288833569583,150.26465950012206
RDT,7,target,0.9767012101941649,0.002066288833569583,152.29748678207397
RDT,9,onehot,0.9756953582427599,0.0022167245963551885,156.318674325943
RDT,9,target,0.9756953582427599,0.0022167245963551885,157.0310670375824
RDT-TwoPass,3,onehot,0.977650930864556,0.002229963345506554,93.69636993408203
RDT-TwoPass,3,target,0.977650930864556,0.002229963345506554,94.50405330657959
RDT-TwoPass,5,onehot,0.9783773127227262,0.0015385636934155985,137.63065881729125
RDT-TwoPass,5,target,0.9783773127227262,0.0015385636934155985,140.72202591896058
RDT-TwoPass,7,onehot,0.9780978738482238,0.0018356537698045459,171.0250585079193
RDT-TwoPass,7,target,0.9780978738482238,0.0018356537698045459,172.7526701927185
RDT-TwoPass,9,onehot,0.9772040034902542,0.001738535016606827,191.58431091308594
RDT-TwoPass,9,target,0.9772040034902542,0.001738535016606827,189.92182631492614
sklearn-DT,3,onehot,0.977371694911815,0.0012507040228118202,2.829471158981323
sklearn-DT,3,target,0.9774275608336026,0.0011920510707400947,4.544449329376221
sklearn-DT,5,onehot,0.978488997738203,0.0020400081134325176,4.328135585784912
sklearn-DT,5,target,0.978488997738203,0.0020400081134325176,4.323612833023072
sklearn-DT,7,onehot,0.9767570605065863,0.0015462373099926425,5.648706865310669
sklearn-DT,7,target,0.977483411146024,0.001557897715550961,5.696724796295166
sklearn-DT,9,onehot,0.9772040503183529,0.0013884764110590603,6.6306211948394775
sklearn-DT,9,target,0.9772040503183529,0.0013884764110590603,6.666921186447143
