algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.9480105862721868,0.009981469070801259
ConTree,target,0.9465017888333715,0.008837015610511544
ODT,onehot,0.977176109552776,0.0013874258525731348
ODT,target,0.977176109552776,0.0013874258525731348
OSDT,onehot,0.9084255300550541,0.00010455440151957822
OSDT,target,0.9084255300550541,0.00010455440151957822
RDT,onehot,0.976421759612638,0.0021737456165660885
RDT,target,0.976421759612638,0.0021737456165660885
RDT-TwoPass,onehot,0.97783253023144,0.0018356789563333813
RDT-TwoPass,target,0.97783253023144,0.0018356789563333813
sklearn-DT,onehot,0.9774554508687393,0.00155635646432401
sklearn-DT,target,0.9776510050090457,0.0015446083276956584
