dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
HTRU2,onehot,ODT,3,0.9772040503183529,0.0013884764110590603,0.958698035886694,0.008458153650227238,75.67798132896424,0.00521240234375,"[0.9782122905027933, 0.9762569832402235, 0.979050279329609, 0.9751327186364906, 0.9773679798826488]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
HTRU2,onehot,RDT,3,0.9767569980691213,0.0021399244315634855,0.960793225820826,0.008817235970555672,104.07879009246827,0.005552768707275391,"[0.9782122905027933, 0.9762569832402235, 0.979050279329609, 0.9728974573903325, 0.9773679798826488]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",1,3.0,3,8,1.0
HTRU2,onehot,RDT-TwoPass,3,0.977650930864556,0.002229963345506554,0.9494812381108441,0.007145219049072213,93.69636993408203,0.005565452575683594,"[0.9793296089385475, 0.976536312849162, 0.9807262569832402, 0.9742944956691814, 0.9773679798826488]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",2,3.0,3,8,0.5333333333333332
HTRU2,onehot,sklearn-DT,3,0.977371694911815,0.0012507040228118202,0.9468027642382827,0.02154317587599115,2.829471158981323,0.0004975318908691407,"[0.9787709497206704, 0.975977653631285, 0.9787709497206704, 0.9759709416037999, 0.9773679798826488]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",3,4.0,3,8,0.5566666666666668
HTRU2,onehot,OSDT,3,0.9084255300550541,0.00010455440151957822,0.5,0.0,0.018274927139282228,5.812644958496094e-05,"[0.9083798882681564, 0.9083798882681564, 0.9083798882681564, 0.9086336965632859, 0.908354288907516]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
HTRU2,onehot,ConTree,3,0.978433178644514,0.0019804930107899304,0.9445484619771634,0.006740200145462709,147.4666606903076,0.00048246383666992185,"[0.9804469273743017, 0.9779329608938547, 0.9798882681564246, 0.9748533109807209, 0.9790444258172674]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
HTRU2,onehot,ODT,5,0.9772040503183529,0.0013884764110590603,0.9645437759593494,0.007869052728504437,95.82922368049621,0.006841707229614258,"[0.9782122905027933, 0.9762569832402235, 0.979050279329609, 0.9751327186364906, 0.9773679798826488]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",5,5.0,5,32,0.0
HTRU2,onehot,RDT,5,0.9765334719445058,0.0022720446047760964,0.9656257234007418,0.01176870273980803,137.67307085990905,0.008126974105834961,"[0.9773743016759776, 0.9779329608938547, 0.9782122905027933, 0.9720592344230232, 0.9770885722268791]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",2,5.0,5,32,0.6
HTRU2,onehot,RDT-TwoPass,5,0.9783773127227262,0.0015385636934155985,0.9568271587227611,0.008003424790542859,137.63065881729125,0.008104467391967773,"[0.9798882681564246, 0.9782122905027933, 0.9798882681564246, 0.9756915339480302, 0.9782062028499581]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 1}",3,5.0,5,32,0.42833333333333334
HTRU2,onehot,sklearn-DT,5,0.978488997738203,0.0020400081134325176,0.9654641689964827,0.008688030107568101,4.328135585784912,0.0005519390106201172,"[0.9810055865921787, 0.9801675977653631, 0.9782122905027933, 0.9751327186364906, 0.9779267951941883]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",8,5.998212090736395,5,28,0.875
HTRU2,onehot,OSDT,5,0.9084255300550541,0.00010455440151957822,0.5,0.0,0.01836256980895996,7.815361022949219e-05,"[0.9083798882681564, 0.9083798882681564, 0.9083798882681564, 0.9086336965632859, 0.908354288907516]","{'max_depth': 5, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
HTRU2,onehot,ConTree,5,0.962898518827237,0.02764797221799434,0.9258646036833085,0.07678583888701368,300.0525375366211,0.0005298614501953125,"[0.9793296089385475, 0.9729050279329609, 0.9787709497206704, 0.9756915339480302, 0.9077954735959766]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,5.0,-1,-1,0.0
HTRU2,onehot,ODT,7,0.977148168787199,0.001386375294087209,0.9642474724765732,0.008287290254113355,103.01398768424988,0.0077855587005615234,"[0.9782122905027933, 0.9762569832402235, 0.979050279329609, 0.9751327186364906, 0.9770885722268791]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",7,7.0,7,128,0.0
HTRU2,onehot,RDT,7,0.9767012101941649,0.002066288833569583,0.9593605979593507,0.010292491915691442,150.26465950012206,0.010795116424560547,"[0.9773743016759776, 0.9756983240223464, 0.9787709497206704, 0.9731768650461022, 0.9784856105057279]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,7.0,7,128,0.5333333333333333
HTRU2,onehot,RDT-TwoPass,7,0.9780978738482238,0.0018356537698045459,0.9492455577605543,0.019621081356740816,171.0250585079193,0.010840034484863282,"[0.9801675977653631, 0.9784916201117319, 0.9798882681564246, 0.9756915339480302, 0.9762503492595697]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",5,7.0,7,128,0.48999999999999994
HTRU2,onehot,sklearn-DT,7,0.9767570605065863,0.0015462373099926425,0.9320415076807629,0.01974468465023271,5.648706865310669,0.0005131244659423828,"[0.9784916201117319, 0.9762569832402235, 0.9776536312849162, 0.9740150880134115, 0.9773679798826488]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 5}",8,7.980277125935859,7,72,1.0
HTRU2,onehot,OSDT,7,0.9084255300550541,0.00010455440151957822,0.5,0.0,0.018239593505859374,8.082389831542969e-05,"[0.9083798882681564, 0.9083798882681564, 0.9083798882681564, 0.9086336965632859, 0.908354288907516]","{'max_depth': 7, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",7,7.0,7,128,0.0
HTRU2,onehot,ConTree,7,0.9037323243438993,0.001048192783161357,0.8838952928380597,0.005876124991793536,300.0085162639618,0.0006071090698242188,"[0.9050279329608939, 0.9027932960893855, 0.9022346368715084, 0.9044425817267393, 0.9041631740709696]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,7.0,-1,-1,0.0
HTRU2,onehot,ODT,9,0.977148168787199,0.001386375294087209,0.9641595044967033,0.007870624108204913,104.96135106086732,0.008034133911132812,"[0.9782122905027933, 0.9762569832402235, 0.979050279329609, 0.9751327186364906, 0.9770885722268791]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",9,9.0,9,512,0.0
