algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,2,3.0,8,0.595
RDT-TwoPass,3,onehot,3,3.0,8,0.43
sklearn-DT,3,onehot,5,3.809116809116809,7,0.285515873015873
OSDT,3,onehot,3,3.0,8,0.0
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,4,5.0,32,0.355
RDT-TwoPass,5,onehot,4,5.0,32,0.2341269841269841
sklearn-DT,5,onehot,12,5.2421652421652425,14,0.31478906714200827
OSDT,5,onehot,5,5.0,32,0.0
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,5,7.0,128,0.276031746031746
RDT-TwoPass,7,onehot,6,7.0,128,0.21626262626262624
sklearn-DT,7,onehot,7,3.7777777777777777,8,0.3517024642024642
OSDT,7,onehot,7,7.0,128,0.0
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,5,9.0,512,0.3188852813852813
RDT-TwoPass,9,onehot,8,9.0,512,0.24225441225441222
sklearn-DT,9,onehot,17,6.139601139601139,23,0.34430522947685416
OSDT,9,onehot,9,9.0,512,0.0
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,2,3.0,8,0.595
RDT-TwoPass,3,target,3,3.0,8,0.43
sklearn-DT,3,target,5,3.809116809116809,7,0.310515873015873
OSDT,3,target,3,3.0,8,0.0
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,4,5.0,32,0.355
RDT-TwoPass,5,target,4,5.0,32,0.2341269841269841
sklearn-DT,5,target,10,5.216524216524217,12,0.38624542124542127
OSDT,5,target,5,5.0,32,0.0
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,5,7.0,128,0.276031746031746
RDT-TwoPass,7,target,6,7.0,128,0.21626262626262624
sklearn-DT,7,target,7,3.7777777777777777,8,0.2765978465978466
OSDT,7,target,7,7.0,128,0.0
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,5,9.0,512,0.3188852813852813
RDT-TwoPass,9,target,8,9.0,512,0.24225441225441222
sklearn-DT,9,target,15,6.131054131054131,22,0.4061622807017544
OSDT,9,target,9,9.0,512,0.0
ConTree,9,target,-1,9.0,-1,0.0
