algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_train_time
ConTree,3,onehot,0.8491348088531186,0.03827412397540453,1.001415205001831
ConTree,3,target,0.8491348088531186,0.03827412397540453,1.0283843517303466
ConTree,5,onehot,0.8773440643863178,0.05018781448994654,0.007595348358154297
ConTree,5,target,0.8773440643863178,0.05018781448994654,0.00841069221496582
ConTree,7,onehot,0.8746076458752515,0.03319112151082055,0.005546092987060547
ConTree,7,target,0.8746076458752515,0.03319112151082055,0.0046600341796875
ConTree,9,onehot,0.8575452716297786,0.04695454591762333,0.0028113842010498045
ConTree,9,target,0.8575452716297786,0.04695454591762333,0.0031830787658691405
ODT,3,onehot,0.848933601609658,0.046781510561488715,0.24323935508728028
ODT,3,target,0.848933601609658,0.046781510561488715,0.2454582691192627
ODT,5,onehot,0.8689336016096579,0.0588542158834255,0.3104273319244385
ODT,5,target,0.8689336016096579,0.0588542158834255,0.32271728515625
ODT,7,onehot,0.8717907444668007,0.05496301338631086,0.38355560302734376
ODT,7,target,0.8717907444668007,0.05496301338631086,0.41230316162109376
ODT,9,onehot,0.8632193158953723,0.04303058583237641,0.4122291564941406
ODT,9,target,0.8632193158953723,0.04303058583237641,0.41629638671875
OSDT,3,onehot,0.641046277665996,0.003621730382293764,0.00019993782043457032
OSDT,3,target,0.641046277665996,0.003621730382293764,0.0
OSDT,5,onehot,0.641046277665996,0.003621730382293764,0.0
OSDT,5,target,0.641046277665996,0.003621730382293764,0.0
OSDT,7,onehot,0.641046277665996,0.003621730382293764,0.0
OSDT,7,target,0.641046277665996,0.003621730382293764,0.00020022392272949218
OSDT,9,onehot,0.641046277665996,0.003621730382293764,0.0
OSDT,9,target,0.641046277665996,0.003621730382293764,0.0
RDT,3,onehot,0.8687726358148893,0.052448426276481094,0.4045544147491455
RDT,3,target,0.8687726358148893,0.052448426276481094,0.43517236709594725
RDT,5,onehot,0.8859154929577466,0.06273576029276956,0.5852445125579834
RDT,5,target,0.8859154929577466,0.06273576029276956,0.6178084373474121
RDT,7,onehot,0.8917102615694166,0.053956174995680034,0.7182264804840088
RDT,7,target,0.8917102615694166,0.053956174995680034,0.7076606273651123
RDT,9,onehot,0.8917102615694166,0.053956174995680034,0.7754677772521973
RDT,9,target,0.8917102615694166,0.053956174995680034,0.7983788013458252
RDT-TwoPass,3,onehot,0.8945271629778674,0.032225185277067296,0.6917386054992676
RDT-TwoPass,3,target,0.8945271629778674,0.032225185277067296,0.7365530490875244
RDT-TwoPass,5,onehot,0.894486921529175,0.04846290213238708,1.0723461151123046
RDT-TwoPass,5,target,0.894486921529175,0.04846290213238708,1.0904631614685059
RDT-TwoPass,7,onehot,0.8916700201207244,0.04671936874371014,1.391564702987671
RDT-TwoPass,7,target,0.8916700201207244,0.04671936874371014,1.3880239009857178
RDT-TwoPass,9,onehot,0.8888128772635815,0.041947459120961025,1.6044349670410156
RDT-TwoPass,9,target,0.8888128772635815,0.041947459120961025,1.561863613128662
sklearn-DT,3,onehot,0.8802816901408452,0.050903603405950494,0.18398447036743165
sklearn-DT,3,target,0.8859557344064388,0.04709683525100018,0.17860035896301268
sklearn-DT,5,onehot,0.8830985915492958,0.027977793043673163,0.2232539176940918
sklearn-DT,5,target,0.8774647887323944,0.023338999491123436,0.22491607666015626
sklearn-DT,7,onehot,0.8717907444668007,0.02711491388128499,0.24570708274841307
sklearn-DT,7,target,0.8859959758551307,0.02571822139204077,0.25641188621520994
sklearn-DT,9,onehot,0.8888933601609658,0.024549064816472344,0.26430654525756836
sklearn-DT,9,target,0.8830985915492958,0.03330596817147797,0.2589690685272217
