algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.8646579476861167,0.04215190147344874
ConTree,target,0.8646579476861167,0.04215190147344874
ODT,onehot,0.8632193158953723,0.05090733141590037
ODT,target,0.8632193158953723,0.05090733141590037
OSDT,onehot,0.641046277665996,0.003621730382293764
OSDT,target,0.641046277665996,0.003621730382293764
RDT,onehot,0.8845271629778673,0.055774134140152684
RDT,target,0.8845271629778673,0.055774134140152684
RDT-TwoPass,onehot,0.8923742454728371,0.04233872881853139
RDT-TwoPass,target,0.8923742454728371,0.04233872881853139
sklearn-DT,onehot,0.8810160965794769,0.03263634378684525
sklearn-DT,target,0.8831287726358149,0.03236500607641059
