dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Ionosphere,onehot,ODT,3,0.848933601609658,0.046781510561488715,0.8005264957264957,0.09078575824550811,0.24323935508728028,0.0,"[0.8732394366197183, 0.8285714285714286, 0.8142857142857143, 0.9285714285714286, 0.8]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Ionosphere,onehot,RDT,3,0.8687726358148893,0.052448426276481094,0.884068376068376,0.07361089464446609,0.4045544147491455,0.0,"[0.9295774647887324, 0.8571428571428571, 0.8285714285714286, 0.9285714285714286, 0.8]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",2,3.0,3,8,0.595
Ionosphere,onehot,RDT-TwoPass,3,0.8945271629778674,0.032225185277067296,0.902382905982906,0.062365597564001056,0.6917386054992676,0.00020198822021484376,"[0.9154929577464789, 0.9142857142857143, 0.8428571428571429, 0.9285714285714286, 0.8714285714285714]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,3.0,3,8,0.43
Ionosphere,onehot,sklearn-DT,3,0.8802816901408452,0.050903603405950494,0.9101811965811966,0.04051820888108713,0.18398447036743165,0.00018210411071777343,"[0.9014084507042254, 0.9142857142857143, 0.7857142857142857, 0.9285714285714286, 0.8714285714285714]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",5,3.809116809116809,3,7,0.285515873015873
Ionosphere,onehot,OSDT,3,0.641046277665996,0.003621730382293764,0.5,0.0,0.00019993782043457032,0.0,"[0.6338028169014085, 0.6428571428571429, 0.6428571428571429, 0.6428571428571429, 0.6428571428571429]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Ionosphere,onehot,ConTree,3,0.8491348088531186,0.03827412397540453,0.8213572649572649,0.05998309996485532,1.001415205001831,0.0,"[0.8028169014084507, 0.8857142857142857, 0.8142857142857143, 0.9, 0.8428571428571429]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Ionosphere,onehot,ODT,5,0.8689336016096579,0.0588542158834255,0.8276376068376068,0.08253187911469333,0.3104273319244385,0.0,"[0.8732394366197183, 0.8285714285714286, 0.9, 0.9571428571428572, 0.7857142857142857]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 2}",5,5.0,5,32,0.0
Ionosphere,onehot,RDT,5,0.8859154929577466,0.06273576029276956,0.9077401709401709,0.056533367240178566,0.5852445125579834,0.0,"[0.9295774647887324, 0.8428571428571429, 0.9142857142857143, 0.9571428571428572, 0.7857142857142857]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 2}",4,5.0,5,32,0.355
Ionosphere,onehot,RDT-TwoPass,5,0.894486921529175,0.04846290213238708,0.8878017094017094,0.053999254438134144,1.0723461151123046,0.0,"[0.9295774647887324, 0.8571428571428571, 0.8714285714285714, 0.9714285714285714, 0.8428571428571429]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",4,5.0,5,32,0.2341269841269841
Ionosphere,onehot,sklearn-DT,5,0.8830985915492958,0.027977793043673163,0.8914495726495726,0.055334968145702254,0.2232539176940918,0.0,"[0.9154929577464789, 0.9, 0.8571428571428571, 0.9, 0.8428571428571429]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",12,5.2421652421652425,5,14,0.31478906714200827
