algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,2,3.0,8,0.8666666666666666
RDT-TwoPass,3,onehot,2,3.0,8,0.8
sklearn-DT,3,onehot,2,3.0,4,1.0
OSDT,3,onehot,3,3.0,8,0.0
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,4,5.0,32,0.72
RDT-TwoPass,5,onehot,3,5.0,32,0.75
sklearn-DT,5,onehot,8,5.991640378548896,31,0.7902777777777777
OSDT,5,onehot,5,5.0,32,0.0
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,5,7.0,128,0.7114285714285714
RDT-TwoPass,7,onehot,4,7.0,128,0.8133333333333332
sklearn-DT,7,onehot,10,7.964248159831756,101,0.9199999999999999
OSDT,7,onehot,7,7.0,128,0.0
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,7,9.0,512,0.7386904761904762
RDT-TwoPass,9,onehot,6,9.0,512,0.6880952380952381
sklearn-DT,9,onehot,10,9.877181913774974,246,1.0
OSDT,9,onehot,9,9.0,512,0.0
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,2,3.0,8,0.8666666666666666
RDT-TwoPass,3,target,2,3.0,8,0.8
sklearn-DT,3,target,2,3.0,4,1.0
OSDT,3,target,3,3.0,8,0.0
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,4,5.0,32,0.72
RDT-TwoPass,5,target,3,5.0,32,0.75
sklearn-DT,5,target,8,5.991640378548896,31,0.8111111111111111
OSDT,5,target,5,5.0,32,0.0
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,5,7.0,128,0.7114285714285714
RDT-TwoPass,7,target,4,7.0,128,0.8133333333333332
sklearn-DT,7,target,10,7.962565720294427,97,1.0
OSDT,7,target,7,7.0,128,0.0
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,7,9.0,512,0.7386904761904762
RDT-TwoPass,9,target,6,9.0,512,0.6880952380952381
sklearn-DT,9,target,10,9.88359621451104,273,1.0
OSDT,9,target,9,9.0,512,0.0
ConTree,9,target,-1,9.0,-1,0.0
