algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.7437039957939011,0.005029686590117869
ConTree,target,0.743493690851735,0.0050698325712893785
ODT,onehot,0.7499605678233439,0.0064869185871913836
ODT,target,0.7499605678233439,0.0064869185871913836
OSDT,onehot,0.6483701366982124,0.0001287849496731421
OSDT,target,0.6483701366982124,0.0001287849496731421
RDT,onehot,0.8121056782334385,0.005598840641841547
RDT,target,0.8121056782334385,0.005598840641841547
RDT-TwoPass,onehot,0.8198343848580442,0.006414467825611473
RDT-TwoPass,target,0.8198343848580442,0.006414467825611473
sklearn-DT,onehot,0.8267087276551,0.00359391541332153
sklearn-DT,target,0.8268533123028391,0.0036064737001163926
