dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Magic Gamma Telescope,onehot,ODT,3,0.7432702418506835,0.00976645147029192,0.796283063299684,0.008323677483666853,60.4759063243866,0.005214118957519531,"[0.7242376445846478, 0.7471083070452156, 0.7455310199789695, 0.7473711882229233, 0.7521030494216614]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Magic Gamma Telescope,onehot,RDT,3,0.7913774973711882,0.002589613113780163,0.8273430142713485,0.007395472811393948,82.32279057502747,0.00566248893737793,"[0.7933753943217665, 0.7936382754994742, 0.7910094637223974, 0.786540483701367, 0.7923238696109358]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",2,3.0,3,8,0.8666666666666666
Magic Gamma Telescope,onehot,RDT-TwoPass,3,0.7896424815983176,0.004002015191164066,0.8196038577696821,0.009884443227103065,90.87783875465394,0.005724668502807617,"[0.785751840168244, 0.788117770767613, 0.7910094637223974, 0.786540483701367, 0.7967928496319664]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",2,3.0,3,8,0.8
Magic Gamma Telescope,onehot,sklearn-DT,3,0.790168243953733,0.0032976659896039543,0.8210947943406414,0.016340999739572412,3.4842812538146974,0.0005459785461425781,"[0.7860147213459516, 0.7878548895899053, 0.7910094637223974, 0.7902208201892744, 0.7957413249211357]","{'ccp_alpha': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",2,3.0,2,4,1.0
Magic Gamma Telescope,onehot,OSDT,3,0.6483701366982124,0.0001287849496731421,0.5,0.0,0.01622157096862793,9.922981262207031e-05,"[0.648527865404837, 0.648527865404837, 0.6482649842271293, 0.6482649842271293, 0.6482649842271293]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Magic Gamma Telescope,onehot,ConTree,3,0.8236593059936907,0.0026880805533468217,0.8292819525737288,0.0035353719305888515,73.767005777359,0.0004948139190673828,"[0.8270241850683491, 0.8259726603575184, 0.8233438485804416, 0.8194006309148265, 0.8225552050473186]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Magic Gamma Telescope,onehot,ODT,5,0.7515247108307045,0.005232326100788529,0.8113480593219748,0.0030394819015516373,68.62084617614747,0.006848812103271484,"[0.7439537329127235, 0.750788643533123, 0.7486855941114616, 0.7549947423764458, 0.7592008412197687]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Magic Gamma Telescope,onehot,RDT,5,0.807465825446898,0.005848973285036137,0.8540127794617712,0.0014559214703106945,94.04381957054139,0.00827322006225586,"[0.8009989484752892, 0.8157202944269191, 0.8057308096740273, 0.8020504731861199, 0.8128286014721346]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",4,5.0,5,32,0.72
Magic Gamma Telescope,onehot,RDT-TwoPass,5,0.8190851735015773,0.0063427949638377645,0.8514309508654694,0.006829356114727344,127.10023188591003,0.008350896835327148,"[0.8130914826498423, 0.8233438485804416, 0.8162460567823344, 0.81335436382755, 0.8293901156677181]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,5.0,5,32,0.75
Magic Gamma Telescope,onehot,sklearn-DT,5,0.8263406940063092,0.005277564707183847,0.8669141458794611,0.0022050782481152927,5.428571033477783,0.0005930423736572266,"[0.8194006309148265, 0.8333333333333334, 0.8301787592008412, 0.8212407991587802, 0.8275499474237644]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}",8,5.991640378548896,5,31,0.7902777777777777
