algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_train_time
ConTree,3,onehot,0.7303709362532892,0.05081510376053919,0.6151140689849853
ConTree,3,target,0.7303709362532892,0.05081510376053919,1.9265103816986084
ConTree,5,onehot,0.712138188608777,0.03240381477346496,299.99719524383545
ConTree,5,target,0.7251252015957899,0.04414860848554467,299.7242389202118
ConTree,7,onehot,0.6743994567523979,0.026713979886307034,33.052397632598876
ConTree,7,target,0.6743994567523979,0.026713979886307034,8.915001010894775
ConTree,9,onehot,0.6771411594941007,0.02341362305754102,0.010776424407958984
ConTree,9,target,0.6771411594941007,0.02341362305754102,0.0028170108795166015
ODT,3,onehot,0.7355742296918768,0.03367744924837993,0.06845455169677735
ODT,3,target,0.7355742296918768,0.03367744924837993,0.6443344116210937
ODT,5,onehot,0.7225362872421696,0.04172237856113905,0.09207186698913575
ODT,5,target,0.7225362872421696,0.04172237856113905,0.7934503555297852
ODT,7,onehot,0.7134284016636958,0.04175798753956832,0.6548371315002441
ODT,7,target,0.7134284016636958,0.04175798753956832,0.09953193664550782
ODT,9,onehot,0.7199219081572023,0.04385802047329167,0.9330644130706787
ODT,9,target,0.7199219081572023,0.04385802047329167,0.10715537071228028
OSDT,3,onehot,0.6510482981071216,0.002079186607913748,0.0
OSDT,3,target,0.6510482981071216,0.002079186607913748,0.0005076885223388672
OSDT,5,onehot,0.6510482981071216,0.002079186607913748,0.00038123130798339844
OSDT,5,target,0.6510482981071216,0.002079186607913748,0.0008559703826904296
OSDT,7,onehot,0.6510482981071216,0.002079186607913748,0.0006212234497070312
OSDT,7,target,0.6510482981071216,0.002079186607913748,0.00010814666748046876
OSDT,9,onehot,0.6510482981071216,0.002079186607913748,0.000800180435180664
OSDT,9,target,0.6510482981071216,0.002079186607913748,0.00020036697387695312
RDT,3,onehot,0.7472880061115357,0.04068717803310127,0.11695647239685059
RDT,3,target,0.7472880061115357,0.04068717803310127,0.9492969512939453
RDT,5,onehot,0.7264833206009677,0.028687483824274853,0.15731687545776368
RDT,5,target,0.7264833206009677,0.028687483824274853,1.4332257747650146
RDT,7,onehot,0.7225193107546048,0.053867313948276895,1.6130254745483399
RDT,7,target,0.7225193107546048,0.053867313948276895,0.19531912803649903
RDT,9,onehot,0.7186571598336304,0.046641474556868116,1.5551037311553955
RDT,9,target,0.7186571598336304,0.046641474556868116,0.21440329551696777
RDT-TwoPass,3,onehot,0.74992784992785,0.02753540230488849,0.15704631805419922
RDT-TwoPass,3,target,0.74992784992785,0.02753540230488849,1.5075009346008301
RDT-TwoPass,5,onehot,0.7511841100076394,0.044190163985933895,0.3147440433502197
RDT-TwoPass,5,target,0.7511841100076394,0.044190163985933895,2.638340711593628
RDT-TwoPass,7,onehot,0.7343009931245226,0.032888780306207684,3.730728006362915
RDT-TwoPass,7,target,0.7343009931245226,0.032888780306207684,0.4673985481262207
RDT-TwoPass,9,onehot,0.7069688481453187,0.030000059453432544,4.148888158798218
RDT-TwoPass,9,target,0.7069688481453187,0.030000059453432544,0.49495439529418944
sklearn-DT,3,onehot,0.7421271538918599,0.03249634088045055,0.13957114219665528
sklearn-DT,3,target,0.7421271538918599,0.03249634088045055,0.5978834629058838
sklearn-DT,5,onehot,0.7303794244970716,0.04368583660904306,0.17089738845825195
sklearn-DT,5,target,0.7329768270944742,0.045323610176420705,0.6421118259429932
sklearn-DT,7,onehot,0.723885918003565,0.042191664237221545,0.8902692317962646
sklearn-DT,7,target,0.723885918003565,0.042191664237221545,0.18217787742614747
sklearn-DT,9,onehot,0.736872930990578,0.04872466646378672,0.8856835842132569
sklearn-DT,9,target,0.7303794244970716,0.04368583660904306,0.19741268157958985
