algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.6985124352771412,0.03333663036946305
ConTree,target,0.7017591885238944,0.036272828797482976
ODT,onehot,0.7228652066887361,0.04025395895559474
ODT,target,0.7228652066887361,0.04025395895559474
OSDT,onehot,0.6510482981071216,0.002079186607913748
OSDT,target,0.6510482981071216,0.002079186607913748
RDT,onehot,0.7287369493251846,0.042470862590630286
RDT,target,0.7287369493251846,0.042470862590630286
RDT-TwoPass,onehot,0.7355954503013327,0.03365360151261565
RDT-TwoPass,target,0.7355954503013327,0.03365360151261565
sklearn-DT,onehot,0.7333163568457687,0.04177462704762547
sklearn-DT,target,0.7323423308717427,0.040924362975783966
