dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Pima Indians Diabetes,onehot,ODT,3,0.7355742296918768,0.03367744924837993,0.7800251572327045,0.04427409438594572,0.06845455169677735,0.00019626617431640626,"[0.7532467532467533, 0.7792207792207793, 0.7532467532467533, 0.6993464052287581, 0.6928104575163399]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,3.0,3,8,0.0
Pima Indians Diabetes,onehot,RDT,3,0.7472880061115357,0.04068717803310127,0.7859444444444443,0.04856959461086522,0.11695647239685059,0.0001972198486328125,"[0.7662337662337663, 0.8116883116883117, 0.7467532467532467, 0.7189542483660131, 0.6928104575163399]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,3.0,3,8,1.0
Pima Indians Diabetes,onehot,RDT-TwoPass,3,0.74992784992785,0.02753540230488849,0.7963186582809224,0.03346036292640177,0.15704631805419922,0.0,"[0.7467532467532467, 0.7922077922077922, 0.7662337662337663, 0.7320261437908496, 0.7124183006535948]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",2,3.0,3,8,0.8666666666666666
Pima Indians Diabetes,onehot,sklearn-DT,3,0.7421271538918599,0.03249634088045055,0.7612365478686234,0.06436271686773899,0.13957114219665528,0.00019993782043457032,"[0.7142857142857143, 0.7922077922077922, 0.7662337662337663, 0.7320261437908496, 0.7058823529411765]","{'ccp_alpha': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",1,2.0,1,2,1.0
Pima Indians Diabetes,onehot,OSDT,3,0.6510482981071216,0.002079186607913748,0.5,0.0,0.0,0.0001994609832763672,"[0.6493506493506493, 0.6493506493506493, 0.6493506493506493, 0.6535947712418301, 0.6535947712418301]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Pima Indians Diabetes,onehot,ConTree,3,0.7303709362532892,0.05081510376053919,0.7305716282320056,0.06861792464728536,0.6151140689849853,0.00020003318786621094,"[0.7987012987012987, 0.7857142857142857, 0.6818181818181818, 0.6928104575163399, 0.6928104575163399]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Pima Indians Diabetes,onehot,ODT,5,0.7225362872421696,0.04172237856113905,0.7688609364081064,0.04543136212826488,0.09207186698913575,0.0,"[0.7467532467532467, 0.7792207792207793, 0.7337662337662337, 0.6928104575163399, 0.6601307189542484]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",5,5.0,5,32,0.0
Pima Indians Diabetes,onehot,RDT,5,0.7264833206009677,0.028687483824274853,0.7614357092941998,0.05694315122446592,0.15731687545776368,0.0,"[0.7337662337662337, 0.7727272727272727, 0.7337662337662337, 0.6993464052287581, 0.6928104575163399]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",5,5.0,5,32,0.7533333333333333
Pima Indians Diabetes,onehot,RDT-TwoPass,5,0.7511841100076394,0.044190163985933895,0.7994783368273934,0.0392627603404365,0.3147440433502197,0.0003205776214599609,"[0.7597402597402597, 0.7987012987012987, 0.7857142857142857, 0.738562091503268, 0.673202614379085]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",3,5.0,5,32,0.6383333333333334
Pima Indians Diabetes,onehot,sklearn-DT,5,0.7303794244970716,0.04368583660904306,0.7539067085953878,0.05926422296943359,0.17089738845825195,0.0003796100616455078,"[0.7142857142857143, 0.7922077922077922, 0.7532467532467533, 0.7320261437908496, 0.6601307189542484]","{'ccp_alpha': 0.05, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",1,2.0,1,2,1.0
Pima Indians Diabetes,onehot,OSDT,5,0.6510482981071216,0.002079186607913748,0.5,0.0,0.00038123130798339844,0.0,"[0.6493506493506493, 0.6493506493506493, 0.6493506493506493, 0.6535947712418301, 0.6535947712418301]","{'max_depth': 5, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Pima Indians Diabetes,onehot,ConTree,5,0.712138188608777,0.03240381477346496,0.7224406009783368,0.021143484617190324,299.99719524383545,0.0009462833404541016,"[0.7402597402597403, 0.7272727272727273, 0.7467532467532467, 0.673202614379085, 0.673202614379085]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.1, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,5.0,-1,-1,0.0
Pima Indians Diabetes,onehot,ODT,7,0.7134284016636958,0.04175798753956832,0.7639682040531096,0.04885545171520543,0.6548371315002441,0.0010263919830322266,"[0.7337662337662337, 0.7792207792207793, 0.7142857142857143, 0.6797385620915033, 0.6601307189542484]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",7,7.0,7,128,0.0
Pima Indians Diabetes,onehot,RDT,7,0.7225193107546048,0.053867313948276895,0.7477522711390636,0.05249046112139902,1.6130254745483399,0.0010224342346191405,"[0.7987012987012987, 0.7662337662337663, 0.7077922077922078, 0.6928104575163399, 0.6470588235294118]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",7,7.0,7,128,0.7833333333333333
Pima Indians Diabetes,onehot,RDT-TwoPass,7,0.7343009931245226,0.032888780306207684,0.772549965059399,0.034778215366261495,3.730728006362915,0.0004070281982421875,"[0.7532467532467533, 0.7792207792207793, 0.7272727272727273, 0.7320261437908496, 0.6797385620915033]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",5,7.0,7,128,0.780952380952381
Pima Indians Diabetes,onehot,sklearn-DT,7,0.723885918003565,0.042191664237221545,0.7468141160027952,0.05553900563496752,0.8902692317962646,0.0007985115051269531,"[0.7142857142857143, 0.7922077922077922, 0.7207792207792207, 0.7320261437908496, 0.6601307189542484]","{'ccp_alpha': 0.05, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}",1,2.0,1,2,1.0
Pima Indians Diabetes,onehot,OSDT,7,0.6510482981071216,0.002079186607913748,0.5,0.0,0.0006212234497070312,0.0,"[0.6493506493506493, 0.6493506493506493, 0.6493506493506493, 0.6535947712418301, 0.6535947712418301]","{'max_depth': 7, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",7,7.0,7,128,0.0
Pima Indians Diabetes,onehot,ConTree,7,0.6743994567523979,0.026713979886307034,0.6451439552760307,0.029080664121418406,33.052397632598876,0.0007971286773681641,"[0.7012987012987013, 0.7012987012987013, 0.6818181818181818, 0.6535947712418301, 0.6339869281045751]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,7.0,-1,-1,0.0
Pima Indians Diabetes,onehot,ODT,9,0.7199219081572023,0.04385802047329167,0.7535971348707198,0.04902295192342114,0.9330644130706787,0.0010019779205322266,"[0.7337662337662337, 0.7792207792207793, 0.7467532467532467, 0.6797385620915033, 0.6601307189542484]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",9,9.0,9,512,0.0
Pima Indians Diabetes,onehot,RDT,9,0.7186571598336304,0.046641474556868116,0.7477648497554158,0.03888639547843428,1.5551037311553955,0.0015982627868652345,"[0.7662337662337663, 0.7792207792207793, 0.6818181818181818, 0.7058823529411765, 0.6601307189542484]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",7,9.0,9,512,0.7714285714285715
Pima Indians Diabetes,onehot,RDT-TwoPass,9,0.7069688481453187,0.030000059453432544,0.7433410202655486,0.04554631375104686,4.148888158798218,0.00040268898010253906,"[0.7077922077922078, 0.7597402597402597, 0.7012987012987013, 0.6993464052287581, 0.6666666666666666]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 2}",5,9.0,9,512,0.775595238095238
Pima Indians Diabetes,onehot,sklearn-DT,9,0.736872930990578,0.04872466646378672,0.7514807826694619,0.05762539747887702,0.8856835842132569,0.0019827842712402343,"[0.7142857142857143, 0.7922077922077922, 0.7857142857142857, 0.7320261437908496, 0.6601307189542484]","{'ccp_alpha': 0.05, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 2}",1,2.0,1,2,1.0
Pima Indians Diabetes,onehot,OSDT,9,0.6510482981071216,0.002079186607913748,0.5,0.0,0.000800180435180664,0.0,"[0.6493506493506493, 0.6493506493506493, 0.6493506493506493, 0.6535947712418301, 0.6535947712418301]","{'max_depth': 9, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",9,9.0,9,512,0.0
Pima Indians Diabetes,onehot,ConTree,9,0.6771411594941007,0.02341362305754102,0.6457547169811321,0.030023870080746612,0.010776424407958984,0.001361989974975586,"[0.6753246753246753, 0.6753246753246753, 0.6363636363636364, 0.7058823529411765, 0.6928104575163399]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,9.0,-1,-1,0.0
Pima Indians Diabetes,target,ODT,3,0.7355742296918768,0.03367744924837993,0.7800251572327045,0.04427409438594572,0.6443344116210937,0.00041570663452148435,"[0.7532467532467533, 0.7792207792207793, 0.7532467532467533, 0.6993464052287581, 0.6928104575163399]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,3.0,3,8,0.0
Pima Indians Diabetes,target,RDT,3,0.7472880061115357,0.04068717803310127,0.7859444444444443,0.04856959461086522,0.9492969512939453,0.0006231307983398437,"[0.7662337662337663, 0.8116883116883117, 0.7467532467532467, 0.7189542483660131, 0.6928104575163399]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,3.0,3,8,1.0
Pima Indians Diabetes,target,RDT-TwoPass,3,0.74992784992785,0.02753540230488849,0.7963186582809224,0.03346036292640177,1.5075009346008301,0.0006682395935058594,"[0.7467532467532467, 0.7922077922077922, 0.7662337662337663, 0.7320261437908496, 0.7124183006535948]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",2,3.0,3,8,0.8666666666666666
Pima Indians Diabetes,target,sklearn-DT,3,0.7421271538918599,0.03249634088045055,0.7612365478686234,0.06436271686773899,0.5978834629058838,0.0001983642578125,"[0.7142857142857143, 0.7922077922077922, 0.7662337662337663, 0.7320261437908496, 0.7058823529411765]","{'ccp_alpha': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",1,2.0,1,2,1.0
