algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,3,3.0,8,0.8
RDT-TwoPass,3,onehot,3,3.0,8,0.8
sklearn-DT,3,onehot,3,3.5714285714285716,4,0.8
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,4,5.0,32,0.9199999999999999
RDT-TwoPass,5,onehot,4,5.0,32,0.8466666666666667
sklearn-DT,5,onehot,5,4.714285714285714,7,0.4428571428571429
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,4,7.0,128,0.7047619047619047
RDT-TwoPass,7,onehot,5,7.0,128,0.7638095238095238
sklearn-DT,7,onehot,6,5.366666666666666,11,0.48811771561771566
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,5,9.0,512,0.7601190476190476
RDT-TwoPass,9,onehot,6,9.0,512,0.6408730158730159
sklearn-DT,9,onehot,9,5.976190476190476,18,0.5713203463203463
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,3,3.0,8,0.8
RDT-TwoPass,3,target,3,3.0,8,0.8
sklearn-DT,3,target,3,3.5714285714285716,4,0.42000000000000004
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,4,5.0,32,0.9199999999999999
RDT-TwoPass,5,target,4,5.0,32,0.8466666666666667
sklearn-DT,5,target,5,4.714285714285714,7,0.4982142857142858
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,4,7.0,128,0.7047619047619047
RDT-TwoPass,7,target,5,7.0,128,0.7638095238095238
sklearn-DT,7,target,8,5.685714285714286,14,0.4609595959595959
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,5,9.0,512,0.7601190476190476
RDT-TwoPass,9,target,6,9.0,512,0.6408730158730159
sklearn-DT,9,target,6,5.352380952380952,11,0.6136904761904761
ConTree,9,target,-1,9.0,-1,0.0
