algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_train_time
ConTree,3,onehot,0.7999999999999999,0.04151332327181595,0.0850921630859375
ConTree,3,target,0.7999999999999999,0.04151332327181595,0.0881115436553955
ConTree,5,onehot,0.880952380952381,0.03688555567816587,0.3559720993041992
ConTree,5,target,0.880952380952381,0.03688555567816587,0.38930325508117675
ConTree,7,onehot,0.7666666666666667,0.04616837959444124,0.005945634841918945
ConTree,7,target,0.7666666666666667,0.04616837959444124,0.006827497482299804
ConTree,9,onehot,0.7523809523809524,0.03229680944345364,0.0011044025421142578
ConTree,9,target,0.7523809523809524,0.03229680944345364,0.001306629180908203
ODT,3,onehot,0.5619047619047619,0.011664236870396045,0.14471678733825682
ODT,3,target,0.5619047619047619,0.011664236870396045,0.1447916030883789
ODT,5,onehot,0.7666666666666666,0.05512303287042967,0.190337610244751
ODT,5,target,0.7666666666666666,0.05512303287042967,0.22533841133117677
ODT,7,onehot,0.8142857142857143,0.10367400503370118,0.21261024475097656
ODT,7,target,0.8142857142857143,0.10367400503370118,0.21847095489501953
ODT,9,onehot,0.8190476190476191,0.07468755781599104,0.22011046409606932
ODT,9,target,0.8190476190476191,0.07468755781599104,0.23248763084411622
RDT,3,onehot,0.5857142857142857,0.04151332327181592,0.8595967292785645
RDT,3,target,0.5857142857142857,0.04151332327181592,0.22166643142700196
RDT,5,onehot,0.8238095238095239,0.03229680944345365,0.2916703224182129
RDT,5,target,0.8238095238095239,0.03229680944345365,0.33571467399597166
RDT,7,onehot,0.8666666666666666,0.06834619092574919,0.3325162887573242
RDT,7,target,0.8666666666666666,0.06834619092574919,0.3408315658569336
RDT,9,onehot,0.8904761904761905,0.03229680944345366,0.34562392234802247
RDT,9,target,0.8904761904761905,0.03229680944345366,0.36052522659301756
RDT-TwoPass,3,onehot,0.5857142857142857,0.04151332327181592,0.43640551567077634
RDT-TwoPass,3,target,0.5857142857142857,0.04151332327181592,0.23142061233520508
RDT-TwoPass,5,onehot,0.8333333333333334,0.02129588549999797,0.30571718215942384
RDT-TwoPass,5,target,0.8333333333333334,0.02129588549999797,0.3757940292358398
RDT-TwoPass,7,onehot,0.8857142857142856,0.06459361888690732,0.36870622634887695
RDT-TwoPass,7,target,0.8857142857142856,0.06459361888690732,0.3822927951812744
RDT-TwoPass,9,onehot,0.8857142857142856,0.05512303287042964,0.4065571308135986
RDT-TwoPass,9,target,0.8857142857142856,0.05512303287042964,0.4405473232269287
sklearn-DT,3,onehot,0.5714285714285714,0.0,0.11695075035095215
sklearn-DT,3,target,0.5714285714285714,0.0,0.13120317459106445
sklearn-DT,5,onehot,0.8190476190476191,0.01904761904761907,0.13399195671081543
sklearn-DT,5,target,0.8095238095238095,0.02608202654786508,0.14195513725280762
sklearn-DT,7,onehot,0.8571428571428571,0.05429406786186372,0.13858399391174317
sklearn-DT,7,target,0.8619047619047618,0.0645936188869073,0.13586344718933105
sklearn-DT,9,onehot,0.8619047619047621,0.03499271061118824,0.13780393600463867
sklearn-DT,9,target,0.8571428571428571,0.03367175148507368,0.13808188438415528
