algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.8,0.03921601699696917
ConTree,target,0.8,0.03921601699696917
ODT,onehot,0.7404761904761905,0.06128720814762948
ODT,target,0.7404761904761905,0.06128720814762948
RDT,onehot,0.7916666666666667,0.0436132832711181
RDT,target,0.7916666666666667,0.0436132832711181
RDT-TwoPass,onehot,0.7976190476190476,0.04563146513228771
RDT-TwoPass,target,0.7976190476190476,0.04563146513228771
sklearn-DT,onehot,0.7773809523809524,0.027083599380167758
sklearn-DT,target,0.7749999999999999,0.031086849229961515
