dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Segment,onehot,ODT,3,0.5619047619047619,0.011664236870396045,,,0.14471678733825682,0.0,"[0.5714285714285714, 0.5714285714285714, 0.5476190476190477, 0.5476190476190477, 0.5714285714285714]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Segment,onehot,RDT,3,0.5857142857142857,0.04151332327181592,,,0.8595967292785645,0.00017957687377929689,"[0.5714285714285714, 0.5714285714285714, 0.5476190476190477, 0.6666666666666666, 0.5714285714285714]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.8
Segment,onehot,RDT-TwoPass,3,0.5857142857142857,0.04151332327181592,,,0.43640551567077634,0.0,"[0.5714285714285714, 0.5714285714285714, 0.5476190476190477, 0.6666666666666666, 0.5714285714285714]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.8
Segment,onehot,sklearn-DT,3,0.5714285714285714,0.0,,,0.11695075035095215,0.0003967761993408203,"[0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714]","{'ccp_alpha': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",3,3.5714285714285716,3,4,0.8
Segment,onehot,ConTree,3,0.7999999999999999,0.04151332327181595,,,0.0850921630859375,0.0,"[0.7857142857142857, 0.8809523809523809, 0.7857142857142857, 0.7619047619047619, 0.7857142857142857]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Segment,onehot,ODT,5,0.7666666666666666,0.05512303287042967,,,0.190337610244751,0.0,"[0.7857142857142857, 0.8333333333333334, 0.7857142857142857, 0.6666666666666666, 0.7619047619047619]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Segment,onehot,RDT,5,0.8238095238095239,0.03229680944345365,,,0.2916703224182129,0.0,"[0.8095238095238095, 0.8333333333333334, 0.8095238095238095, 0.8809523809523809, 0.7857142857142857]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",4,5.0,5,32,0.9199999999999999
Segment,onehot,RDT-TwoPass,5,0.8333333333333334,0.02129588549999797,,,0.30571718215942384,0.00019936561584472657,"[0.8095238095238095, 0.8333333333333334, 0.8095238095238095, 0.8571428571428571, 0.8571428571428571]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",4,5.0,5,32,0.8466666666666667
Segment,onehot,sklearn-DT,5,0.8190476190476191,0.01904761904761907,,,0.13399195671081543,0.0003996372222900391,"[0.8095238095238095, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7857142857142857]","{'ccp_alpha': 0.01, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",5,4.714285714285714,5,7,0.4428571428571429
Segment,onehot,ConTree,5,0.880952380952381,0.03688555567816587,,,0.3559720993041992,0.0001964569091796875,"[0.8095238095238095, 0.9047619047619048, 0.9047619047619048, 0.8809523809523809, 0.9047619047619048]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,5.0,-1,-1,0.0
Segment,onehot,ODT,7,0.8142857142857143,0.10367400503370118,,,0.21261024475097656,0.00019979476928710938,"[0.8095238095238095, 0.9285714285714286, 0.7380952380952381, 0.6666666666666666, 0.9285714285714286]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",7,7.0,7,128,0.0
Segment,onehot,RDT,7,0.8666666666666666,0.06834619092574919,,,0.3325162887573242,0.0,"[0.8095238095238095, 0.9285714285714286, 0.7619047619047619, 0.9047619047619048, 0.9285714285714286]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",4,7.0,7,128,0.7047619047619047
Segment,onehot,RDT-TwoPass,7,0.8857142857142856,0.06459361888690732,,,0.36870622634887695,0.0,"[0.9047619047619048, 0.9047619047619048, 0.7619047619047619, 0.9047619047619048, 0.9523809523809523]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",5,7.0,7,128,0.7638095238095238
Segment,onehot,sklearn-DT,7,0.8571428571428571,0.05429406786186372,,,0.13858399391174317,0.00040183067321777346,"[0.8809523809523809, 0.9047619047619048, 0.7619047619047619, 0.8333333333333334, 0.9047619047619048]","{'ccp_alpha': 0.01, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}",6,5.366666666666666,7,11,0.48811771561771566
Segment,onehot,ConTree,7,0.7666666666666667,0.04616837959444124,,,0.005945634841918945,0.0,"[0.7619047619047619, 0.6904761904761905, 0.7619047619047619, 0.8333333333333334, 0.7857142857142857]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,7.0,-1,-1,0.0
Segment,onehot,ODT,9,0.8190476190476191,0.07468755781599104,,,0.22011046409606932,0.0,"[0.8095238095238095, 0.9047619047619048, 0.7380952380952381, 0.7380952380952381, 0.9047619047619048]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",9,9.0,9,512,0.0
Segment,onehot,RDT,9,0.8904761904761905,0.03229680944345366,,,0.34562392234802247,0.0,"[0.8809523809523809, 0.9047619047619048, 0.8333333333333334, 0.9285714285714286, 0.9047619047619048]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",5,9.0,9,512,0.7601190476190476
Segment,onehot,RDT-TwoPass,9,0.8857142857142856,0.05512303287042964,,,0.4065571308135986,0.0,"[0.9047619047619048, 0.8809523809523809, 0.7857142857142857, 0.9047619047619048, 0.9523809523809523]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",6,9.0,9,512,0.6408730158730159
Segment,onehot,sklearn-DT,9,0.8619047619047621,0.03499271061118824,,,0.13780393600463867,0.0,"[0.8809523809523809, 0.8809523809523809, 0.8333333333333334, 0.8095238095238095, 0.9047619047619048]","{'ccp_alpha': 0.0, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 5}",9,5.976190476190476,9,18,0.5713203463203463
Segment,onehot,ConTree,9,0.7523809523809524,0.03229680944345364,,,0.0011044025421142578,0.0,"[0.7619047619047619, 0.7857142857142857, 0.7142857142857143, 0.7857142857142857, 0.7142857142857143]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,9.0,-1,-1,0.0
Segment,target,ODT,3,0.5619047619047619,0.011664236870396045,,,0.1447916030883789,0.0,"[0.5714285714285714, 0.5714285714285714, 0.5476190476190477, 0.5476190476190477, 0.5714285714285714]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Segment,target,RDT,3,0.5857142857142857,0.04151332327181592,,,0.22166643142700196,0.00019712448120117186,"[0.5714285714285714, 0.5714285714285714, 0.5476190476190477, 0.6666666666666666, 0.5714285714285714]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.8
Segment,target,RDT-TwoPass,3,0.5857142857142857,0.04151332327181592,,,0.23142061233520508,0.0,"[0.5714285714285714, 0.5714285714285714, 0.5476190476190477, 0.6666666666666666, 0.5714285714285714]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.8
Segment,target,sklearn-DT,3,0.5714285714285714,0.0,,,0.13120317459106445,0.00042023658752441404,"[0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",3,3.5714285714285716,3,4,0.42000000000000004
Segment,target,ConTree,3,0.7999999999999999,0.04151332327181595,,,0.0881115436553955,0.0,"[0.7857142857142857, 0.8809523809523809, 0.7857142857142857, 0.7619047619047619, 0.7857142857142857]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Segment,target,ODT,5,0.7666666666666666,0.05512303287042967,,,0.22533841133117677,0.0,"[0.7857142857142857, 0.8333333333333334, 0.7857142857142857, 0.6666666666666666, 0.7619047619047619]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Segment,target,RDT,5,0.8238095238095239,0.03229680944345365,,,0.33571467399597166,0.0,"[0.8095238095238095, 0.8333333333333334, 0.8095238095238095, 0.8809523809523809, 0.7857142857142857]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",4,5.0,5,32,0.9199999999999999
Segment,target,RDT-TwoPass,5,0.8333333333333334,0.02129588549999797,,,0.3757940292358398,0.0,"[0.8095238095238095, 0.8333333333333334, 0.8095238095238095, 0.8571428571428571, 0.8571428571428571]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",4,5.0,5,32,0.8466666666666667
Segment,target,sklearn-DT,5,0.8095238095238095,0.02608202654786508,,,0.14195513725280762,0.00019936561584472657,"[0.8095238095238095, 0.8333333333333334, 0.8095238095238095, 0.8333333333333334, 0.7619047619047619]","{'ccp_alpha': 0.01, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",5,4.714285714285714,5,7,0.4982142857142858
Segment,target,ConTree,5,0.880952380952381,0.03688555567816587,,,0.38930325508117675,0.00019998550415039061,"[0.8095238095238095, 0.9047619047619048, 0.9047619047619048, 0.8809523809523809, 0.9047619047619048]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,5.0,-1,-1,0.0
Segment,target,ODT,7,0.8142857142857143,0.10367400503370118,,,0.21847095489501953,0.00020008087158203126,"[0.8095238095238095, 0.9285714285714286, 0.7380952380952381, 0.6666666666666666, 0.9285714285714286]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",7,7.0,7,128,0.0
