algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,3,3.0,8,0.8
RDT-TwoPass,3,onehot,3,3.0,8,0.8
sklearn-DT,3,onehot,7,4.0,8,0.5777777777777778
OSDT,3,onehot,3,3.0,8,0.0
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,5,5.0,32,0.7666666666666666
RDT-TwoPass,5,onehot,5,5.0,32,0.7428571428571428
sklearn-DT,5,onehot,13,5.970006520321669,20,0.5160259717922255
OSDT,5,onehot,5,5.0,32,0.0
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,7,7.0,128,0.5922222222222222
RDT-TwoPass,7,onehot,7,7.0,128,0.6041666666666667
sklearn-DT,7,onehot,29,7.908063464464247,48,0.5358532781842479
OSDT,7,onehot,7,7.0,128,0.0
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,9,9.0,512,0.5111188811188812
RDT-TwoPass,9,onehot,7,9.0,512,0.571111111111111
sklearn-DT,9,onehot,30,9.72353836122582,73,0.637564923222818
OSDT,9,onehot,9,9.0,512,0.0
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,3,3.0,8,0.8
RDT-TwoPass,3,target,3,3.0,8,0.8
sklearn-DT,3,target,6,4.0,8,0.5777777777777778
OSDT,3,target,3,3.0,8,0.0
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,5,5.0,32,0.7666666666666666
RDT-TwoPass,5,target,5,5.0,32,0.7428571428571428
sklearn-DT,5,target,14,5.97131058465551,21,0.5289404884760922
OSDT,5,target,5,5.0,32,0.0
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,7,7.0,128,0.5922222222222222
RDT-TwoPass,7,target,7,7.0,128,0.6041666666666667
sklearn-DT,7,target,28,7.908063464464247,48,0.5661871869960106
OSDT,7,target,7,7.0,128,0.0
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,9,9.0,512,0.5111188811188812
RDT-TwoPass,9,target,7,9.0,512,0.571111111111111
sklearn-DT,9,target,35,9.799826124755487,82,0.6880037688028703
OSDT,9,target,9,9.0,512,0.0
ConTree,9,target,-1,9.0,-1,0.0
