algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.9058901005523297,0.007038135174029563
ConTree,target,0.9062705353349384,0.007049946482076955
ODT,onehot,0.8713352688476609,0.012563991042363045
ODT,target,0.8713352688476609,0.012563991042363045
OSDT,onehot,0.6059552471321343,0.00048827597163123937
OSDT,target,0.6059552471321343,0.00048827597163123937
RDT,onehot,0.8861148680545721,0.013550332620411163
RDT,target,0.8861148680545721,0.013550332620411163
RDT-TwoPass,onehot,0.887255346268234,0.010643542346533783
RDT-TwoPass,target,0.887255346268234,0.010643542346533783
sklearn-DT,onehot,0.900241231175943,0.009750571151615834
sklearn-DT,target,0.9004045106925365,0.009675261507547477
