dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Spambase,onehot,ODT,3,0.8300365859415569,0.0167383814455672,0.8946237371273964,0.011390880059298275,1.2446699142456055,0.0008048534393310547,"[0.8317046688382194, 0.8608695652173913, 0.8152173913043478, 0.8271739130434783, 0.8152173913043478]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Spambase,onehot,RDT,3,0.8526448095170656,0.024496059683700236,0.8989184065357607,0.014585038877263657,1.9909741401672363,0.0009830951690673827,"[0.8338762214983714, 0.8608695652173913, 0.8728260869565218, 0.8804347826086957, 0.8152173913043478]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.8
Spambase,onehot,RDT-TwoPass,3,0.8487327101921351,0.012533081235696499,0.8983346279333423,0.014527090241802125,2.850613498687744,0.0006175994873046875,"[0.8295331161780674, 0.8586956521739131, 0.8391304347826087, 0.8532608695652174, 0.8630434782608696]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.8
Spambase,onehot,sklearn-DT,3,0.8685101260444696,0.012730975223734928,0.8981249452011427,0.007123930265935368,0.7677598476409913,0.00040044784545898435,"[0.8534201954397395, 0.8684782608695653, 0.8880434782608696, 0.8760869565217392, 0.8565217391304348]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",7,4.0,3,8,0.5777777777777778
Spambase,onehot,OSDT,3,0.6059552471321343,0.00048827597163123937,0.5,0.0,0.0010532855987548829,0.0,"[0.6058631921824105, 0.6054347826086957, 0.6054347826086957, 0.6065217391304348, 0.6065217391304348]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Spambase,onehot,ConTree,3,0.9071946844167492,0.00940968476497475,0.9027382641579681,0.010144741851237128,48.853449726104735,0.00020041465759277344,"[0.9044516829533116, 0.8923913043478261, 0.9217391304347826, 0.908695652173913, 0.908695652173913]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Spambase,onehot,ODT,5,0.8776384364820847,0.010004116869863081,0.9229544986962918,0.011971953716457193,1.9984782695770265,0.0012354850769042969,"[0.8631921824104235, 0.8815217391304347, 0.8913043478260869, 0.8826086956521739, 0.8695652173913043]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Spambase,onehot,RDT,5,0.8895944861445498,0.012926859071747808,0.9274572743749416,0.01469403130754384,2.84100923538208,0.0011871814727783202,"[0.8653637350705755, 0.8989130434782608, 0.8978260869565218, 0.8989130434782608, 0.8869565217391304]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",5,5.0,5,32,0.7666666666666666
Spambase,onehot,RDT-TwoPass,5,0.8891538025775386,0.010612773124322539,0.9393722400471731,0.009512734923540217,5.487549686431885,0.0016130447387695313,"[0.8925081433224755, 0.8815217391304347, 0.8728260869565218, 0.9021739130434783, 0.8967391304347826]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",5,5.0,5,32,0.7428571428571428
Spambase,onehot,sklearn-DT,5,0.9067617901147147,0.005887298242935672,0.9255071449709178,0.007558907288136124,1.2881243705749512,0.0003962516784667969,"[0.8957654723127035, 0.9130434782608695, 0.908695652173913, 0.9097826086956522, 0.9065217391304348]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",13,5.970006520321669,5,20,0.5160259717922255
Spambase,onehot,OSDT,5,0.6059552471321343,0.00048827597163123937,0.5,0.0,0.000994873046875,0.0,"[0.6058631921824105, 0.6054347826086957, 0.6054347826086957, 0.6065217391304348, 0.6065217391304348]","{'max_depth': 5, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Spambase,onehot,ConTree,5,0.9043685974602276,0.006805551074065822,0.9064247685129574,0.007698398221257345,300.10311713218687,0.00012788772583007812,"[0.9044516829533116, 0.8923913043478261, 0.9119565217391304, 0.9097826086956522, 0.9032608695652173]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,5.0,-1,-1,0.0
Spambase,onehot,ODT,7,0.8861157531983194,0.010314722022946851,0.9335882550684852,0.012841506896335715,2.44648756980896,0.002128314971923828,"[0.8675352877307275, 0.8913043478260869, 0.8978260869565218, 0.883695652173913, 0.8902173913043478]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",7,7.0,7,128,0.0
Spambase,onehot,RDT,7,0.8991540386158711,0.008979680819478374,0.9370383766581079,0.01240060886961039,3.5023868083953857,0.001517343521118164,"[0.8914223669923995, 0.9152173913043479, 0.9010869565217391, 0.8978260869565218, 0.8902173913043478]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",7,7.0,7,128,0.5922222222222222
Spambase,onehot,RDT-TwoPass,7,0.9052412311759429,0.008388359907392775,0.9471864691002516,0.009276637329311778,7.294725942611694,0.001802206039428711,"[0.8903365906623235, 0.9141304347826087, 0.9032608695652173, 0.9119565217391304, 0.9065217391304348]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",7,7.0,7,128,0.6041666666666667
Spambase,onehot,sklearn-DT,7,0.9104564981352972,0.011860185688554997,0.9219321668362441,0.014692825320325509,1.5267229557037354,0.00041909217834472655,"[0.9001085776330076, 0.9184782608695652, 0.9293478260869565, 0.9065217391304348, 0.8978260869565218]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}",29,7.908063464464247,7,48,0.5358532781842479
Spambase,onehot,OSDT,7,0.6059552471321343,0.00048827597163123937,0.5,0.0,0.0013988494873046875,0.00019960403442382814,"[0.6058631921824105, 0.6054347826086957, 0.6054347826086957, 0.6065217391304348, 0.6065217391304348]","{'max_depth': 7, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",7,7.0,7,128,0.0
Spambase,onehot,ConTree,7,0.9058898645139971,0.0056127182131653726,0.9117706970121526,0.009194216423074112,300.0548302173614,0.0,"[0.9066232356134636, 0.8967391304347826, 0.9130434782608695, 0.9097826086956522, 0.9032608695652173]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,7.0,-1,-1,0.0
Spambase,onehot,ODT,9,0.8915502997686824,0.013198743831075046,0.9443964315168797,0.011067287411219118,2.8822482109069822,0.0020005226135253905,"[0.8686210640608035, 0.9010869565217391, 0.9, 0.8847826086956522, 0.9032608695652173]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",9,9.0,9,512,0.0
