algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,3,3.0,8,1.0
RDT-TwoPass,3,onehot,3,3.0,8,1.0
sklearn-DT,3,onehot,3,3.3843379701184957,4,1.0
OSDT,3,onehot,3,3.0,8,0.0
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,5,5.0,32,1.0
RDT-TwoPass,5,onehot,5,5.0,32,1.0
sklearn-DT,5,onehot,5,4.29005667181865,6,1.0
OSDT,5,onehot,5,5.0,32,0.0
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,6,7.0,128,1.0
RDT-TwoPass,7,onehot,6,7.0,128,1.0
sklearn-DT,7,onehot,6,4.665121071612571,7,1.0
OSDT,7,onehot,7,7.0,128,0.0
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,6,9.0,512,1.0
RDT-TwoPass,9,onehot,6,9.0,512,1.0
sklearn-DT,9,onehot,6,4.665121071612571,7,1.0
OSDT,9,onehot,9,9.0,512,0.0
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,3,3.0,8,1.0
RDT-TwoPass,3,target,3,3.0,8,1.0
sklearn-DT,3,target,3,3.3843379701184957,4,1.0
OSDT,3,target,3,3.0,8,0.0
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,5,5.0,32,1.0
RDT-TwoPass,5,target,5,5.0,32,1.0
sklearn-DT,5,target,5,4.29005667181865,6,1.0
OSDT,5,target,5,5.0,32,0.0
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,6,7.0,128,1.0
RDT-TwoPass,7,target,6,7.0,128,1.0
sklearn-DT,7,target,6,4.665121071612571,7,1.0
OSDT,7,target,7,7.0,128,0.0
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,6,9.0,512,1.0
RDT-TwoPass,9,target,6,9.0,512,1.0
sklearn-DT,9,target,6,4.665121071612571,7,1.0
OSDT,9,target,9,9.0,512,0.0
ConTree,9,target,-1,9.0,-1,0.0
