algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.9587834256486365,0.003997681374492956
ConTree,target,0.9587834256486365,0.003997681374492956
ODT,onehot,0.9562087562610977,0.004371295535699442
ODT,target,0.9562087562610977,0.004371295535699442
OSDT,onehot,0.6532716720112368,0.001163348791840829
OSDT,target,0.6532716720112368,0.001163348791840829
RDT,onehot,0.9562087562610977,0.004371295535699442
RDT,target,0.9562087562610977,0.004371295535699442
RDT-TwoPass,onehot,0.9562087562610977,0.004371295535699442
RDT-TwoPass,target,0.9562087562610977,0.004371295535699442
sklearn-DT,onehot,0.9562087562610977,0.004371295535699442
sklearn-DT,target,0.9562087562610977,0.004371295535699442
