dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Steel Plates Faults,onehot,ODT,3,0.8531669891076777,0.012105420547863307,0.8876209890759703,0.00923098856113592,0.8047375679016113,0.00080108642578125,"[0.8560411311053985, 0.845360824742268, 0.8530927835051546, 0.8376288659793815, 0.8737113402061856]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Steel Plates Faults,onehot,RDT,3,0.8531669891076777,0.012105420547863307,0.8876209890759703,0.00923098856113592,1.1904752254486084,0.00019745826721191407,"[0.8560411311053985, 0.845360824742268, 0.8530927835051546, 0.8376288659793815, 0.8737113402061856]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,1.0
Steel Plates Faults,onehot,RDT-TwoPass,3,0.8531669891076777,0.012105420547863307,0.8876209890759703,0.00923098856113592,1.1774030685424806,0.0004024982452392578,"[0.8560411311053985, 0.845360824742268, 0.8530927835051546, 0.8376288659793815, 0.8737113402061856]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,1.0
Steel Plates Faults,onehot,sklearn-DT,3,0.8531669891076777,0.012105420547863307,0.8876209890759703,0.00923098856113592,0.32143635749816896,0.0,"[0.8560411311053985, 0.845360824742268, 0.8530927835051546, 0.8376288659793815, 0.8737113402061856]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",3,3.3843379701184957,3,4,1.0
Steel Plates Faults,onehot,OSDT,3,0.6532716720112368,0.001163348791840829,0.5,0.0,0.0003977298736572266,0.0,"[0.6529562982005142, 0.654639175257732, 0.654639175257732, 0.6520618556701031, 0.6520618556701031]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Steel Plates Faults,onehot,ConTree,3,0.8485278138499457,0.009193682198504052,0.8976715640619843,0.014427054963939815,2.1619615077972414,0.00038123130798339844,"[0.8560411311053985, 0.8402061855670103, 0.8350515463917526, 0.8582474226804123, 0.8530927835051546]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Steel Plates Faults,onehot,ODT,5,0.9716680359367131,0.005379761594934462,0.9783168902306183,0.004108504542092608,1.1439555644989015,0.0006092071533203125,"[0.9640102827763496, 0.9768041237113402, 0.9664948453608248, 0.9768041237113402, 0.9742268041237113]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Steel Plates Faults,onehot,RDT,5,0.9716680359367131,0.005379761594934462,0.9783168902306183,0.004108504542092608,1.6229877471923828,0.0006083488464355469,"[0.9640102827763496, 0.9768041237113402, 0.9664948453608248, 0.9768041237113402, 0.9742268041237113]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,1.0
Steel Plates Faults,onehot,RDT-TwoPass,5,0.9716680359367131,0.005379761594934462,0.9783168902306183,0.004108504542092608,1.6975885391235352,0.000189971923828125,"[0.9640102827763496, 0.9768041237113402, 0.9664948453608248, 0.9768041237113402, 0.9742268041237113]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,1.0
Steel Plates Faults,onehot,sklearn-DT,5,0.9716680359367131,0.005379761594934462,0.9783168902306183,0.004108504542092608,0.46302247047424316,0.00019922256469726563,"[0.9640102827763496, 0.9768041237113402, 0.9664948453608248, 0.9768041237113402, 0.9742268041237113]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",5,4.29005667181865,5,6,1.0
Steel Plates Faults,onehot,OSDT,5,0.6532716720112368,0.001163348791840829,0.5,0.0,0.0004155158996582031,0.0,"[0.6529562982005142, 0.654639175257732, 0.654639175257732, 0.6520618556701031, 0.6520618556701031]","{'max_depth': 5, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Steel Plates Faults,onehot,ConTree,5,0.9866058887446002,0.006797043299467773,0.9902026056645973,0.00519845992004734,299.88414521217345,0.0004006862640380859,"[0.9845758354755784, 0.9922680412371134, 0.9742268041237113, 0.9922680412371134, 0.9896907216494846]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,5.0,-1,-1,0.0
Steel Plates Faults,onehot,ODT,7,1.0,0.0,1.0,0.0,1.3337358474731444,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",7,7.0,7,128,0.0
Steel Plates Faults,onehot,RDT,7,1.0,0.0,1.0,0.0,1.9332577228546142,0.0006060600280761719,"[1.0, 1.0, 1.0, 1.0, 1.0]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",6,7.0,7,128,1.0
Steel Plates Faults,onehot,RDT-TwoPass,7,1.0,0.0,1.0,0.0,1.949170207977295,0.0003951072692871094,"[1.0, 1.0, 1.0, 1.0, 1.0]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",6,7.0,7,128,1.0
Steel Plates Faults,onehot,sklearn-DT,7,1.0,0.0,1.0,0.0,0.4589580535888672,0.0001800537109375,"[1.0, 1.0, 1.0, 1.0, 1.0]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}",6,4.665121071612571,6,7,1.0
Steel Plates Faults,onehot,OSDT,7,0.6532716720112368,0.001163348791840829,0.5,0.0,0.0002029895782470703,0.0001975536346435547,"[0.6529562982005142, 0.654639175257732, 0.654639175257732, 0.6520618556701031, 0.6520618556701031]","{'max_depth': 7, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",7,7.0,7,128,0.0
Steel Plates Faults,onehot,ConTree,7,1.0,0.0,1.0,0.0,0.01116166114807129,0.0002002716064453125,"[1.0, 1.0, 1.0, 1.0, 1.0]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,7.0,-1,-1,0.0
Steel Plates Faults,onehot,ODT,9,1.0,0.0,1.0,0.0,1.460895299911499,0.0006110668182373047,"[1.0, 1.0, 1.0, 1.0, 1.0]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",9,9.0,9,512,0.0
Steel Plates Faults,onehot,RDT,9,1.0,0.0,1.0,0.0,2.044178581237793,0.0003795623779296875,"[1.0, 1.0, 1.0, 1.0, 1.0]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",6,9.0,9,512,1.0
Steel Plates Faults,onehot,RDT-TwoPass,9,1.0,0.0,1.0,0.0,2.0269757747650146,0.00010771751403808594,"[1.0, 1.0, 1.0, 1.0, 1.0]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",6,9.0,9,512,1.0
Steel Plates Faults,onehot,sklearn-DT,9,1.0,0.0,1.0,0.0,0.4544361591339111,0.0001990795135498047,"[1.0, 1.0, 1.0, 1.0, 1.0]","{'ccp_alpha': 0.0, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 2}",6,4.665121071612571,6,7,1.0
Steel Plates Faults,onehot,OSDT,9,0.6532716720112368,0.001163348791840829,0.5,0.0,0.0,0.0,"[0.6529562982005142, 0.654639175257732, 0.654639175257732, 0.6520618556701031, 0.6520618556701031]","{'max_depth': 9, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",9,9.0,9,512,0.0
Steel Plates Faults,onehot,ConTree,9,1.0,0.0,1.0,0.0,0.00722813606262207,0.0003864288330078125,"[1.0, 1.0, 1.0, 1.0, 1.0]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,9.0,-1,-1,0.0
Steel Plates Faults,target,ODT,3,0.8531669891076777,0.012105420547863307,0.8876209890759703,0.00923098856113592,0.8940022468566895,0.00020184516906738282,"[0.8560411311053985, 0.845360824742268, 0.8530927835051546, 0.8376288659793815, 0.8737113402061856]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Steel Plates Faults,target,RDT,3,0.8531669891076777,0.012105420547863307,0.8876209890759703,0.00923098856113592,1.2710147380828858,0.0002200603485107422,"[0.8560411311053985, 0.845360824742268, 0.8530927835051546, 0.8376288659793815, 0.8737113402061856]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,1.0
Steel Plates Faults,target,RDT-TwoPass,3,0.8531669891076777,0.012105420547863307,0.8876209890759703,0.00923098856113592,1.2631336212158204,0.0003996372222900391,"[0.8560411311053985, 0.845360824742268, 0.8530927835051546, 0.8376288659793815, 0.8737113402061856]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,1.0
Steel Plates Faults,target,sklearn-DT,3,0.8531669891076777,0.012105420547863307,0.8876209890759703,0.00923098856113592,0.3436257362365723,0.0,"[0.8560411311053985, 0.845360824742268, 0.8530927835051546, 0.8376288659793815, 0.8737113402061856]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",3,3.3843379701184957,3,4,1.0
Steel Plates Faults,target,OSDT,3,0.6532716720112368,0.001163348791840829,0.5,0.0,0.0002780437469482422,0.0,"[0.6529562982005142, 0.654639175257732, 0.654639175257732, 0.6520618556701031, 0.6520618556701031]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Steel Plates Faults,target,ConTree,3,0.8485278138499457,0.009193682198504052,0.8976715640619843,0.014427054963939815,2.23382773399353,0.0002056121826171875,"[0.8560411311053985, 0.8402061855670103, 0.8350515463917526, 0.8582474226804123, 0.8530927835051546]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Steel Plates Faults,target,ODT,5,0.9716680359367131,0.005379761594934462,0.9783168902306183,0.004108504542092608,1.235473108291626,0.0007251262664794922,"[0.9640102827763496, 0.9768041237113402, 0.9664948453608248, 0.9768041237113402, 0.9742268041237113]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Steel Plates Faults,target,RDT,5,0.9716680359367131,0.005379761594934462,0.9783168902306183,0.004108504542092608,1.8007822036743164,0.00020008087158203126,"[0.9640102827763496, 0.9768041237113402, 0.9664948453608248, 0.9768041237113402, 0.9742268041237113]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,1.0
Steel Plates Faults,target,RDT-TwoPass,5,0.9716680359367131,0.005379761594934462,0.9783168902306183,0.004108504542092608,1.7328807830810546,0.00040192604064941405,"[0.9640102827763496, 0.9768041237113402, 0.9664948453608248, 0.9768041237113402, 0.9742268041237113]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,1.0
