algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,3,3.0,8,0.8
RDT-TwoPass,3,onehot,3,3.0,8,1.0
sklearn-DT,3,onehot,4,3.862884160756501,7,0.6983333333333334
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,5,5.0,32,0.6435714285714286
RDT-TwoPass,5,onehot,5,5.0,32,0.6523809523809524
sklearn-DT,5,onehot,8,4.75886524822695,12,0.7819444444444443
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,5,7.0,128,0.5606746031746032
RDT-TwoPass,7,onehot,7,7.0,128,0.5743253968253967
sklearn-DT,7,onehot,17,7.32033096926714,58,0.873529411764706
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,7,9.0,512,0.5433605283605283
RDT-TwoPass,9,onehot,9,9.0,512,0.4787762237762238
sklearn-DT,9,onehot,18,8.15839243498818,98,0.9555555555555555
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,3,3.0,8,0.8
RDT-TwoPass,3,target,3,3.0,8,1.0
sklearn-DT,3,target,4,3.862884160756501,7,0.6983333333333334
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,5,5.0,32,0.6435714285714286
RDT-TwoPass,5,target,5,5.0,32,0.6523809523809524
sklearn-DT,5,target,15,5.887706855791962,26,0.701733193277311
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,5,7.0,128,0.5606746031746032
RDT-TwoPass,7,target,7,7.0,128,0.5743253968253967
sklearn-DT,7,target,18,7.328605200945627,60,0.8879084967320262
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,7,9.0,512,0.5433605283605283
RDT-TwoPass,9,target,9,9.0,512,0.4787762237762238
sklearn-DT,9,target,18,8.15839243498818,98,0.9666666666666666
ConTree,9,target,-1,9.0,-1,0.0
