algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_train_time
ConTree,3,onehot,0.663125652627915,0.022979732853694562,1.1972185611724853
ConTree,3,target,0.663125652627915,0.022979732853694562,1.2371091365814209
ConTree,5,onehot,0.7281865645666551,0.0265941104856718,300.0006223678589
ConTree,5,target,0.7281865645666551,0.0265941104856718,300.001610994339
ConTree,7,onehot,0.6465645666550645,0.03341510325564638,299.4360725402832
ConTree,7,target,0.6524469195962409,0.03646911527703876,299.4768630981445
ConTree,9,onehot,0.6536094674556213,0.03151486178102758,0.1348602294921875
ConTree,9,target,0.6536094674556213,0.03151486178102758,0.13650226593017578
ODT,3,onehot,0.5236268708666898,0.031182906485271486,0.07841300964355469
ODT,3,target,0.5236268708666898,0.031182906485271486,0.08364853858947754
ODT,5,onehot,0.54963452836756,0.03490768539413852,0.08566827774047851
ODT,5,target,0.54963452836756,0.03490768539413852,0.09438548088073731
ODT,7,onehot,0.5697667942916812,0.016131054143396405,0.10090050697326661
ODT,7,target,0.5697667942916812,0.016131054143396405,0.10630888938903808
ODT,9,onehot,0.5602784545770971,0.02010090090900813,0.11695842742919922
ODT,9,target,0.5602784545770971,0.02010090090900813,0.10301146507263184
RDT,3,onehot,0.594549251653324,0.03290126420272493,0.11197524070739746
RDT,3,target,0.594549251653324,0.03290126420272493,0.11733498573303222
RDT,5,onehot,0.6430003480682214,0.03321734941569155,0.14152984619140624
RDT,5,target,0.6430003480682214,0.03321734941569155,0.14539823532104493
RDT,7,onehot,0.6678733031674209,0.04523569381677086,0.17057456970214843
RDT,7,target,0.6678733031674209,0.04523569381677086,0.18416619300842285
RDT,9,onehot,0.6631604594500522,0.03644344156687457,0.1957181930541992
RDT,9,target,0.6631604594500522,0.03644344156687457,0.2096397876739502
RDT-TwoPass,3,onehot,0.6512982944657153,0.019099939105455065,0.20196061134338378
RDT-TwoPass,3,target,0.6512982944657153,0.019099939105455065,0.21189041137695314
RDT-TwoPass,5,onehot,0.6702471284371738,0.030765957808893882,0.4095411777496338
RDT-TwoPass,5,target,0.6702471284371738,0.030765957808893882,0.4307733058929443
RDT-TwoPass,7,onehot,0.6808771319178559,0.037550774126915445,0.6393797397613525
RDT-TwoPass,7,target,0.6808771319178559,0.037550774126915445,0.6749242782592774
RDT-TwoPass,9,onehot,0.6844204664114166,0.01562753597791089,0.7484169006347656
RDT-TwoPass,9,target,0.6844204664114166,0.01562753597791089,0.78253173828125
sklearn-DT,3,onehot,0.6512982944657153,0.02085265530241281,0.16204652786254883
sklearn-DT,3,target,0.6512982944657153,0.02085265530241281,0.1734379291534424
sklearn-DT,5,onehot,0.676143404107205,0.019927671408886502,0.20770773887634278
sklearn-DT,5,target,0.6773198746954403,0.018272535398422652,0.21435632705688476
sklearn-DT,7,onehot,0.6737278106508876,0.022670059219784454,0.24689173698425293
sklearn-DT,7,target,0.6760877131917857,0.024496288694951997,0.2699000835418701
sklearn-DT,9,onehot,0.677298990602158,0.02240125970466105,0.2589902877807617
sklearn-DT,9,target,0.6749251653324052,0.0196828636834885,0.2551734447479248
