algorithm,encoding,mean_accuracy,std_accuracy
ConTree,onehot,0.672871562826314,0.02862595209401008
ConTree,target,0.6743421510616081,0.029389455099358176
ODT,onehot,0.550826662025757,0.025580636732953636
ODT,target,0.550826662025757,0.025580636732953636
RDT,onehot,0.6421458405847547,0.03694943725051548
RDT,target,0.6421458405847547,0.03694943725051548
RDT-TwoPass,onehot,0.6717107553080404,0.02576105175479382
RDT-TwoPass,target,0.6717107553080404,0.02576105175479382
sklearn-DT,onehot,0.6696171249564915,0.021462911408936206
sklearn-DT,target,0.6699077619213366,0.02082608576981899
