dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Vehicle,onehot,ODT,3,0.5236268708666898,0.031182906485271486,,,0.07841300964355469,0.00019698143005371095,"[0.5352941176470588, 0.5029585798816568, 0.47337278106508873, 0.5562130177514792, 0.5502958579881657]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Vehicle,onehot,RDT,3,0.594549251653324,0.03290126420272493,,,0.11197524070739746,0.00019993782043457032,"[0.6058823529411764, 0.5798816568047337, 0.5384615384615384, 0.6153846153846154, 0.6331360946745562]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.8
Vehicle,onehot,RDT-TwoPass,3,0.6512982944657153,0.019099939105455065,,,0.20196061134338378,0.0,"[0.6529411764705882, 0.621301775147929, 0.6449704142011834, 0.6804733727810651, 0.6568047337278107]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,3.0,3,8,1.0
Vehicle,onehot,sklearn-DT,3,0.6512982944657153,0.02085265530241281,,,0.16204652786254883,0.0,"[0.6529411764705882, 0.6272189349112426, 0.6331360946745562, 0.6863905325443787, 0.6568047337278107]","{'ccp_alpha': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",4,3.862884160756501,3,7,0.6983333333333334
Vehicle,onehot,ConTree,3,0.663125652627915,0.022979732853694562,,,1.1972185611724853,0.0004123687744140625,"[0.6588235294117647, 0.6449704142011834, 0.6331360946745562, 0.6863905325443787, 0.6923076923076923]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Vehicle,onehot,ODT,5,0.54963452836756,0.03490768539413852,,,0.08566827774047851,0.00020012855529785156,"[0.5588235294117647, 0.5384615384615384, 0.5029585798816568, 0.6094674556213018, 0.5384615384615384]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Vehicle,onehot,RDT,5,0.6430003480682214,0.03321734941569155,,,0.14152984619140624,0.00020093917846679686,"[0.6647058823529411, 0.6153846153846154, 0.591715976331361, 0.6745562130177515, 0.6686390532544378]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",5,5.0,5,32,0.6435714285714286
Vehicle,onehot,RDT-TwoPass,5,0.6702471284371738,0.030765957808893882,,,0.4095411777496338,0.0,"[0.6411764705882353, 0.6568047337278107, 0.6390532544378699, 0.7041420118343196, 0.7100591715976331]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",5,5.0,5,32,0.6523809523809524
Vehicle,onehot,sklearn-DT,5,0.676143404107205,0.019927671408886502,,,0.20770773887634278,0.00019979476928710938,"[0.6588235294117647, 0.6745562130177515, 0.650887573964497, 0.7041420118343196, 0.6923076923076923]","{'ccp_alpha': 0.01, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",8,4.75886524822695,5,12,0.7819444444444443
Vehicle,onehot,ConTree,5,0.7281865645666551,0.0265941104856718,,,300.0006223678589,0.00023369789123535157,"[0.6823529411764706, 0.727810650887574, 0.7218934911242604, 0.757396449704142, 0.7514792899408284]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,5.0,-1,-1,0.0
Vehicle,onehot,ODT,7,0.5697667942916812,0.016131054143396405,,,0.10090050697326661,0.0,"[0.5470588235294118, 0.5798816568047337, 0.5739644970414202, 0.591715976331361, 0.5562130177514792]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",7,7.0,7,128,0.0
Vehicle,onehot,RDT,7,0.6678733031674209,0.04523569381677086,,,0.17057456970214843,0.00038166046142578124,"[0.6470588235294118, 0.6982248520710059, 0.591715976331361, 0.6804733727810651, 0.7218934911242604]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",5,7.0,7,128,0.5606746031746032
Vehicle,onehot,RDT-TwoPass,7,0.6808771319178559,0.037550774126915445,,,0.6393797397613525,0.0,"[0.6588235294117647, 0.6982248520710059, 0.6390532544378699, 0.6627218934911243, 0.7455621301775148]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 2}",7,7.0,7,128,0.5743253968253967
Vehicle,onehot,sklearn-DT,7,0.6737278106508876,0.022670059219784454,,,0.24689173698425293,0.0,"[0.7, 0.6568047337278107, 0.6390532544378699, 0.6804733727810651, 0.6923076923076923]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 5}",17,7.32033096926714,7,58,0.873529411764706
Vehicle,onehot,ConTree,7,0.6465645666550645,0.03341510325564638,,,299.4360725402832,0.00019979476928710938,"[0.6529411764705882, 0.6923076923076923, 0.6627218934911243, 0.6331360946745562, 0.591715976331361]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,7.0,-1,-1,0.0
Vehicle,onehot,ODT,9,0.5602784545770971,0.02010090090900813,,,0.11695842742919922,0.00019679069519042968,"[0.5647058823529412, 0.5384615384615384, 0.5384615384615384, 0.591715976331361, 0.5680473372781065]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 5}",9,9.0,9,512,0.0
Vehicle,onehot,RDT,9,0.6631604594500522,0.03644344156687457,,,0.1957181930541992,0.00040073394775390624,"[0.6294117647058823, 0.6923076923076923, 0.6094674556213018, 0.6863905325443787, 0.6982248520710059]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",7,9.0,9,512,0.5433605283605283
